,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,CRRI
488,,,,,1.9954761565804762,2.0105060417193794,2.0064373703287277,1.9921666329472747,1.9635322527145522,1.9282252926965446,1.8829071912394282,1.8274289767895093,1.7719439959158985,1.7070387745332232,1.6437625678325678,1.5800027613945864,1.5171833916830382,1.458181721194242,1.4009703328579861,1.3452972272861108,1.3003273949116152,1.257263340189068,1.2229741623071098,1.1906933157377186,1.162264174877718,1.1392254599741465,1.115009979907311,1.0887259123058535,1.0631976021704355,1.0440261681792875,1.0374724554244166,1.0370239624101605,1.0327889107440757,1.0207487981616943,1.0014498834806025,0.9766969592943092,0.9519887697734976,0.9238741796439764,0.8988252487007737,0.8778087166369467,0.8600550078246582,0.84489665915467,0.8324575735184128,0.8219376583122142,0.810322731362741,0.7986893186035138,0.7863692101092539,0.7719794676042939,0.7601040561055887,0.7494185272515901,0.741125608387895,0.7374770751797075,0.7390519848901975,0.7464009998550561,0.7607869038874798,0.7776040604924657,0.7969972615825118,0.8155332136996674,0.8343390727263904,0.8494700686893075,0.8606630004859162,0.868990291342119,0.8708378429912325,0.8669994062293196,0.8581595932509058,0.8444585675669879,0.8306281142337839,0.8177992441537505,0.8075357711306571,0.8021094311456873,0.8031667404984719,0.81275982724141,0.8268523465504559,0.846585626488563,0.8741394627450103,0.9053975849400622,0.9396547223184551,0.9756628908046225,1.0101696562069047,1.0442971108566397,1.0721233114636506,1.0949940534722435,1.1110305864314713,1.121980090852699,1.1253609829932287,1.1215530730412042,1.1148193556032964,1.1061578383446484,1.0941781800711006,1.08295223506761,1.0742698188401811,1.0685417305840423,1.0629312330222205,1.0602545321544894,1.0593773605898196,1.060665011133095,1.063307542653309,1.0677609727889164,1.0729824674371926,1.081289828776712,1.0907963995983714,1.1071852838052294,1.124208700020202,1.143170411556708,1.1631727861464594,1.183731040028569,1.2031654104629348,1.2100445273459814,1.2069758990037527,1.2049969694136178,1.1958970322141584,1.1828298764179093,1.1683054591081758,1.1550629318366457,1.147965677330078,1.141935395794243,1.1398050029954292,1.1364023061923962,1.1280888391047967,1.1281521453690344,3
472,,,,,,,,,,,,,,,,,,1.6531196402071828,1.6721837619041118,1.665233699274149,1.635353537507834,1.5872115095800168,1.5297381244703971,1.4651600355468624,1.4040239481424421,1.3482077271402235,1.2951594893504812,1.2493359612209984,1.209606797091615,1.1751517969547742,1.150542370334739,1.1304817411418182,1.108935268519355,1.0791260335864168,1.040935276618512,0.9957144028330609,0.9445516075994902,0.8913847644218893,0.8408488769484332,0.7954747997726528,0.7580901337630661,0.7330036306482541,0.7166532372198287,0.7094802500015986,0.7107671815277619,0.7141611200023055,0.7175938927585022,0.7145728121157398,0.7038112967197072,0.6894918896427403,0.672128611462953,0.6552073384127374,0.6437429141644202,0.6376551842817534,0.6418461452475521,0.6486743875314152,0.6651121123726605,0.6887722007979907,0.7161110658577909,0.7382969234740817,0.7609361156921646,0.7800858491691358,0.7976857213133756,0.8133629208005222,0.8259223760872685,0.8335540416789073,0.8479170071974086,0.8619896573421155,0.8751479592073774,0.8885468186833017,0.906228883767344,0.9171042925583417,0.9305388002029085,0.942428429308865,0.9490230779308644,0.9579385489747241,0.9647623450667346,0.9744275934263689,0.9892864093329423,1.013957525798224,1.0376600560321543,1.0690133774901456,1.0971427996142864,1.1199800911934923,1.1352131332059516,1.1487453108113157,1.1541692006585433,1.1511653619785227,1.144162064854506,1.1314363313104343,1.1207887779654877,1.1157198327819087,1.1103443178166632,1.1086390556702672,1.1082911815386542,1.108257982942681,1.1084700960510565,1.112939515344601,1.1187008666113958,1.134408690945055,1.1591470074281915,1.1936757995089748,1.2343833314014105,1.2730274288579344,1.315556894977966,1.3531318821712355,1.3776068952944462,1.3811595310291849,1.3720211432715776,1.3571265575648754,1.337060264443092,1.3147466076887804,1.2920938988828174,1.270279510947426,1.2496459896765826,1.23526795143435,1.2200303200967497,1.209837368883158,1.1993449238252087,1.192343135864312,3
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6552093800819545,1.57687263308167,1.5081019131269633,1.4514566447111736,1.4046601372840017,1.362535083395109,1.324767277539685,1.2975503153300427,1.268994036428798,1.2403904259160554,1.2162898022688367,1.204723556330999,1.1899071019237701,1.1763278127360504,1.1613675795329532,1.143967173471982,1.1273478130737122,1.1073417948020539,1.0864804816561604,1.0581699450801507,1.031796055216301,1.0073977741275453,0.9869990381923133,0.9646735654696122,0.9505213478047863,0.9491887742683259,0.9590588256340736,0.9789780371557384,0.9995832632848254,1.0323948489491948,1.064301719882351,1.1004978732771518,1.1301651142260802,1.1527375297327689,1.1695649286118046,1.1755826537511131,1.174164782035796,1.1630783949539008,1.1470467027087543,1.1291699229596786,1.1124281070739865,1.085915875756808,1.066144192819023,1.0399927414705408,1.0160151324903453,0.9922151117824194,0.970895284790788,0.9527401800209898,0.9392283933017853,0.9242629208249218,0.9111674212983535,0.9026262076126267,0.9041281331369473,0.910175911117642,0.9242741785695171,0.9415168467413979,0.9641922844039241,0.9894834164430966,1.013974343135828,1.039684708141015,1.0582462457146091,1.0725803062194241,1.0839317564131092,1.0971789304990063,1.1034055481737144,1.1120485803083027,1.119348386915935,1.1302582090072528,1.1437718951463176,1.1608651841793833,1.1777589385667961,1.1961329548650759,1.2161611152074538,1.2310151803949894,1.2486797038956037,1.2666469491791161,1.2779277234922684,1.284313131734592,1.2843156129364226,1.2831384892847892,1.283057477085102,1.2824259110043892,1.2804387640713695,1.2740586160701874,1.2655539958392432,1.2546592946086275,1.241209060636712,1.2359520714361096,1.235541401820293,1.2300916745033592,1.2238017331817956,1.218753074253196,3
546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4422101444279645,1.4420359389427289,1.4457922989471825,1.4484542801525886,1.4542837805557927,1.4567156176577978,1.4526246775364764,1.4347169131370996,1.4043446716846706,1.3589289867400374,1.2981959493517194,1.2285282869168839,1.1532110650722949,1.08199871398808,1.016522457554596,0.9595844902204111,0.9156090822570438,0.8879601289739516,0.8801681023509054,0.8899845964762123,0.9174643513404418,0.9626889585238756,1.019240687815019,1.0790892542749178,1.1466600609026703,1.2085156023331156,1.2586548286635009,1.2931923250121555,1.310870374694529,1.308727154479397,1.2871956103148727,1.2498762098216276,1.19776306620938,1.1413133027311682,1.082062010268428,1.0287731547324295,0.9846095137532886,0.9529629899876977,0.9334068803120898,0.9303999166347736,0.935088097123641,0.946095777179333,0.9598500870719306,0.9719554183716718,0.9758043371928334,0.9701303582723357,0.9579152396554798,0.9376719131664928,0.9138924258344665,0.8930762374744051,0.8770284707985836,0.8691083828339436,0.872062175624019,0.8850024765573625,0.912701534030762,0.9539930370974368,1.0057100974073867,1.065874342087431,1.1310939198946566,1.1974547802213973,1.2566745448548033,1.3022080060237862,1.3310772562141784,1.3408578376539229,1.3279829395465002,1.3007006960961067,1.2604951445000907,1.2184249889449807,1.1737367975929267,1.1327363178054148,1.097489894615332,1.0637729541127536,1.0367388276918463,1.0202465044788664,1.0100462228508982,1.0061195948027637,1.0048084154035235,1.0079197002798654,1.009685003941147,1.012818049327433,1.0098542129988959,1.0064468856799866,0.9969479950666489,0.9854783260103877,0.9752027647598813,0.9724407920102334,0.9629946917872283,0.9575211951170624,0.9508884548955094,0.9460886343978387,0.9452548723813115,2
348,,,,,,,,,,,,2.3409446364124094,2.321778335826255,2.2969755115394355,2.2620076890417034,2.215103887882684,2.157944770690147,2.0971686880122706,2.027687905566158,1.9540592077835854,1.8815661979281812,1.813681847682709,1.7508151852524367,1.6961137165704065,1.647542045852016,1.6002522331325877,1.5555319617828474,1.509713586242881,1.4652540115680592,1.4236068114609364,1.3959181460804215,1.3707636997213708,1.339007061327119,1.2982755927053726,1.2498008513007393,1.1984979598029768,1.1483504132458349,1.1025261993232764,1.0642648557533825,1.0377464073515346,1.020668450422601,1.0116363018595587,1.0063961947474194,1.0046511662969742,1.002348812421202,0.9986180432316677,0.9910766085305809,0.9770313645481913,0.9598217490100801,0.9393053394492378,0.9204634251210548,0.9029387647348848,0.8910865076220269,0.8833893713308343,0.882508368106619,0.8871823698337811,0.8975974779475301,0.911674321727477,0.9286917808463695,0.9445492109588149,0.9569252589441377,0.9656051041863672,0.9689852035875315,0.9668956854740696,0.9615921708145927,0.9528619616070475,0.9435659556189633,0.9361465468888801,0.9308161814892717,0.9316198461987286,0.9342719208704993,0.9418374254095567,0.9510438020425809,0.9602537770217795,0.9685173101417044,0.977287338361668,0.983774231127039,0.9877233754572665,0.9914365853470626,0.9938584908212094,0.9961823073665415,0.9977646021518375,0.9977123528939491,0.9971093698804936,0.9962842611723481,0.9937284254646714,0.9887382007637802,0.9834701396051487,0.9783736485589769,0.9726167528806429,0.9690077505647724,0.9669769473052764,0.9664162838621808,0.967419670873536,0.9720338449433408,0.974253439202818,0.9787482503529864,0.9853018432050957,0.9911479629119906,0.9985573745128034,1.008176831538575,1.0199679813282678,1.0318487979585103,1.0477363659788428,1.0628843486095478,1.0765243489688077,1.0855887506559991,1.091982516783813,1.0962461387326756,1.093736619542668,1.0922752080939824,1.0836410456817533,1.0775764671935848,1.0697379508916018,1.0688229332183763,1.0619312898247089,1.0513867241069295,1.0434738323368347,1.0405940794592783,1.0384373409459302,2
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6178308709412845,1.5826584657525447,1.5420743264133456,1.495264662057672,1.4535362711232767,1.401392302129568,1.3558365687128862,1.3012549283673724,1.2471878849779259,1.1955485498560656,1.1373922196253194,1.0861395203626312,1.0387551249422633,0.9934622844611902,0.9506319417073885,0.9181435601199439,0.8971238572573904,0.8871800652023978,0.8909984954378072,0.9024697431148732,0.918306999205099,0.9469251215448377,0.9768278837763716,0.9989044374922376,1.0161106361490329,1.0293636200751444,1.0289472023103166,1.023738167464335,1.0056755556031045,0.9835963780583473,0.9590242884735755,0.9250975177218999,0.9002056774037135,0.8791128138573239,0.8619052814188028,0.8538003616295082,0.848331056191656,0.8532336035813581,0.8572310156203394,0.8680900978426307,0.8797247721770196,0.8940662657386593,0.8995417187157567,0.9050209134486421,0.9121103618092454,0.9124435592074234,0.9166867007116941,0.9236166164844196,0.9297863898245802,0.9424536924514212,0.95757832375857,0.9721130830065052,1.0011656920197658,1.0300151259654102,1.0647149407940923,1.1078494329491035,1.153504285785488,1.1952977899283725,1.2367755711794275,1.2773716990254342,1.3204496470412683,1.3482213206157185,1.362452498156627,1.3811598698446907,1.386849047374684,1.3847340076165944,1.3873376659506556,1.3875135749187586,1.3791231299749809,1.371481880044338,1.368866703683436,1.3567959231303135,1.3491356517326651,1.33532960175356,1.3163538492640499,1.287537886379528,1.257031557396873,1.2270708195041116,1.1882485353371917,1.1543656744171389,1.1291616034802163,1.1033211862423948,1.0841007436400583,1.0579300051433584,1.0413289839279642,1.0287661659772038,1.0203227479318082,2
216,,,,,,,,,,2.7163707235526626,2.684056154654535,2.6205075719157866,2.551837015315746,2.4813069630313143,2.401267063028599,2.3228246949324993,2.242230468496093,2.16377809499442,2.08226916967984,1.9993081234987535,1.9159034199303322,1.8309906056056922,1.7434635696862424,1.6520145151130246,1.5628568202438973,1.4750201317604112,1.391198202028619,1.3124449302530654,1.2478750314139893,1.1976770144257236,1.1628467080112388,1.1481182185067873,1.1467554722824655,1.1522985591095631,1.1570856905012414,1.1587288727091787,1.154425206507949,1.1422030383689756,1.1214104537019487,1.0976678930278978,1.0714414238601342,1.0464448081024031,1.0262447524675773,1.0119387152250203,1.0021704533144689,0.9988016991186146,1.0003856755494671,1.0047743484495424,1.0093107415222464,1.014005651163318,1.0175701603200014,1.0202822570077275,1.0232306779666835,1.0256747770249395,1.0283874678111133,1.0285987987579583,1.0234321137752824,1.0153561680036938,1.0022521470381518,0.9798086831345709,0.9504514618151076,0.9163806991216159,0.8796326952591305,0.843384830275884,0.812528605289581,0.790176290028611,0.7735588127328007,0.7649959587408459,0.7646369172814628,0.7713697250678797,0.780896629442325,0.790094625376996,0.797485451653738,0.8022155263247681,0.8068613136969529,0.8089774385322492,0.8117837135305863,0.8149667289816438,0.8179418318650493,0.8197582316446135,0.8236014024202173,0.8279120513646117,0.8299701852677864,0.8285608682547515,0.8228169543799706,0.8118691897941972,0.7989104574480628,0.7817513434789718,0.7612730947520261,0.7415459137703316,0.7210619943500136,0.7024369794071859,0.688957345250049,0.6799970016760906,0.6755043416187478,0.6787815544095379,0.6874361575805441,0.703626211331188,0.724801108514432,0.7530378890700111,0.7850120786713148,0.8174685346753774,0.8498629810157099,0.8792274523039239,0.9064514817740073,0.9301289462054254,0.9496354445663773,0.9759211389723192,0.997801203891975,1.0177911658917713,1.0356652518893386,1.0499113561286086,1.0623523009681026,1.075189376965131,1.093596088397164,1.1073171265044408,1.1129975578741997,1.1273043152749191,1.1363426048303011,1.1403631566607841,3
233,,,,,,,,,,,,,,,,,1.923029953616584,1.8534215045791744,1.7839794738052808,1.7278230555875953,1.6632135141545321,1.6078434524123497,1.5509516087756876,1.4848626260181597,1.4185447099005302,1.3481441484841572,1.2687192178176465,1.193276879759955,1.1078909789790852,1.0265838466595776,0.9520693011746784,0.8934575858351979,0.8458151657025179,0.8109720170110398,0.7827563815919223,0.7573617710743141,0.7432513334839542,0.7309232647286384,0.7118811858836189,0.6956716758609762,0.6811341373248128,0.6671357900573756,0.647818065093957,0.6380546700785557,0.6351862594839086,0.6308579953808906,0.6518346432118884,0.681508884285959,0.7142410164935202,0.7522498053748159,0.7842649894183356,0.8047169826332988,0.8071651680808779,0.8012488061075476,0.7768896613325015,0.7340108228698099,0.6822675474142821,0.6348724259894836,0.5936089975298899,0.5541615540210538,0.519610216457092,0.5167382499657951,0.5018019672883853,0.5050150992430298,0.511045881064708,0.5605696747891242,0.5977033811665973,0.6477260793019484,0.6767084798226645,0.7113520411291352,0.7353900466265413,0.7483596228734726,0.7653775198400097,0.7957610943526789,0.8045740306269472,0.8296152864915531,0.8652245949811199,0.8926460600268318,0.9606358852835115,0.9891455046766165,1.0426864766491428,1.0656259512851598,1.1040941693476938,1.1148257182897603,1.1423937214777957,1.1458865951018038,1.1385882802175282,1.126874527329599,1.1473252772780322,1.1446504115046228,1.1291430137181346,1.1411625054735588,1.1298061977005922,1.1469322818227752,1.1505609144492546,1.1607512801587827,1.1625048616250577,1.170455019318986,1.1896386675421446,1.2019294711190147,1.216076590394144,1.2386171926879865,1.268603618438148,1.2949849969620368,1.3073574415449327,1.3208678302045307,1.3265356972987412,1.3185755823881125,1.319151744918428,1.3014846154645092,1.293232149644906,1.2766349228760259,1.261446240889486,1.2616509916308551,1.2521597101418909,1.2335211906737507,1.2214252288915572,1.2050004366973641,1.1896288245953852,1.1862084073646915,3
408,,,,,,,,,4.300488488122032,4.012593900316618,3.75434377650915,3.501492317592197,3.2961334386180425,3.1129328263219227,2.933467378139248,2.76731887415525,2.6061002933030837,2.447491130934006,2.2912053747667898,2.14351959258982,2.003713353467339,1.874414181781768,1.7496178827300688,1.6356043098810304,1.5321231897679917,1.4349779200561879,1.3499965004046668,1.2713214939488149,1.2006649962210698,1.1359521750515045,1.077503850036884,1.027114677353282,0.9816021716134637,0.94382914305399,0.9144483122264926,0.8982314093259273,0.8857019929597608,0.8760527534772589,0.8666871267881144,0.8573853736878454,0.8501124118621626,0.8462634011852218,0.8421385758777712,0.8400006883928223,0.8394552444206593,0.840067823117121,0.8395146130749438,0.838492177621295,0.8354300012559994,0.8292572707178614,0.8208170467167695,0.8112187235664667,0.7986135251131652,0.7845408237244632,0.7708176431517424,0.7568088740535155,0.746689156865748,0.736166377550519,0.7266217066342653,0.7183272559166524,0.7122084440237922,0.7059356787376259,0.6991108353582168,0.6935390376783134,0.6857291164839019,0.6779518584399526,0.6705300206426155,0.6650549921785376,0.6607818953287041,0.6595316083697838,0.6611227424183349,0.6646805538254857,0.671553505154776,0.6773380780723157,0.6846540159247995,0.6936757771569572,0.7016643044432089,0.7096701665458979,0.7177393593209234,0.7258735402954849,0.7338500577152417,0.740911704615913,0.75113619485097,0.7600578468049851,0.7670321868442453,0.7706498940754073,0.7708244732904009,0.767593047712302,0.7647032504562306,0.7665441687098993,0.7749852438360594,0.7947025889106883,0.8253669332661608,0.8656830331642518,0.913369884778853,0.9668894012722314,1.018683258001168,1.064596909180847,1.0960399684093343,1.0978842333157777,1.0616473655587668,1.0055698949077767,0.9497334030228715,0.8998028516415061,0.8556454578463268,0.8235848764121383,0.8046529652313049,0.8005397546941757,0.8053573894144599,0.8155147667993393,0.8262324910685271,0.8398284455197745,0.8491465023332134,0.8636464454997188,0.8809524016030426,0.8955956147118613,0.9149741407235144,0.9250578016413319,0.9389606837587271,0.9442487769706884,2
278,,,,,,,,,,,,,,,,,3.7622981659171706,3.507285995153139,3.257943669607708,3.032742082248956,2.823426317873361,2.6448872011370033,2.4834076030736627,2.3398543347360747,2.2166985605260923,2.1025395430539495,1.9997903796975152,1.9034349389890375,1.812240979589148,1.7320362210125357,1.654643709081722,1.5876214405796913,1.5257379547598695,1.4644560457359086,1.414636736776395,1.3707537364033926,1.330837171390454,1.2878701535231447,1.2420731257718374,1.1979600993579629,1.1522069432154796,1.1088534593707209,1.0714592014348177,1.0389245116509747,1.0139198063279213,0.9949891610866171,0.9803765208904996,0.9647598609889755,0.9506431353284812,0.9385270543186514,0.925786967242801,0.9135153476734412,0.9012029298501874,0.8904422148405426,0.8826899215787682,0.878388389416427,0.8769813114194337,0.8778559530967511,0.8801078860851594,0.8808033934525981,0.8812201858409723,0.8805809045291322,0.8791051743359226,0.8765659086965576,0.8699796294931259,0.8635490979916751,0.8563412238078174,0.8503989623258053,0.84509423506957,0.8383470361097698,0.8303348664054595,0.8205573637903398,0.8095433662934693,0.7962499843127671,0.7816498378914165,0.7647785405267471,0.7474842355394912,0.7322610318019225,0.7199979703964112,0.7123894808397044,0.711150786557503,0.713888563030939,0.7194220137546452,0.7271207005205219,0.7343278451959707,0.739210888941278,0.740598784199985,0.7371728245113783,0.7301766067102362,0.7190019953566389,0.7090588868786525,0.7045603435473353,0.7014048676428983,0.7068671200491121,0.7178129857109017,0.7337874825187903,0.7523763470234845,0.7727559468249655,0.7914625706773104,0.8021626286174748,0.8036155450202275,0.7987899217871011,0.7875578854552714,0.7659979443105647,0.7408274707938692,0.708218022010895,0.6762490411263167,0.6602584928310564,0.6536033215957353,0.656631657751523,0.6800251507904271,0.719355953474815,0.7742868553083089,0.8231841635497348,0.8805094044663981,0.9392256203370803,0.9834263534415648,1.0241077866892967,1.0466509918219717,1.064969119369497,2
