,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,CRRI
Alabama,,,,,,,,,,,,,,,,,3.6934516014648713,3.4567842851397885,3.172277421514967,2.817937442006124,2.514731315721483,2.2669391094060254,2.0711215188947127,1.9238139511850432,1.7947254616630772,1.6905456759288602,1.5876305534472195,1.5036987466051257,1.4297933823389577,1.3698292490175192,1.3137835584473156,1.265199921343789,1.2202224780759252,1.1787718494013268,1.1381701562312032,1.1000734148410443,1.063542601097381,1.0330590426398576,1.0045528861808357,0.979604801985161,0.9621847683383853,0.9503491062496086,0.9414514405618085,0.9374946316948045,0.9345943223803334,0.9353637910970352,0.9382199799831167,0.9460701869097161,0.9552151720168216,0.9633929918508957,0.9710946850989592,0.9761713130901086,0.9746846270535658,0.9692996421356945,0.9601709300753104,0.947897737434249,0.9344918589813431,0.9215460482928962,0.9092792404061387,0.902567148469891,0.8976395480285024,0.8976944612990854,0.9035780902848196,0.9150853713327134,0.925598546007689,0.9399943818342218,0.9533429777967015,0.969933440211611,0.984796207608075,0.999185038317866,1.0105595295182315,1.0197828489676422,1.026682441888438,1.0353531111643302,1.0428473261796096,1.0504889666871204,1.0596016312375864,1.0700527440537924,1.081334197972096,1.0939756624940007,1.1055772650945372,1.112440471218175,1.1119155981533073,1.102269000125847,1.0854030619233193,1.0621381093459998,1.0318407845320827,1.0025448171769096,0.9756454635890484,0.9559779952943888,0.9473341008770997,0.950794197635402,0.9667585294517707,0.9890378343539259,1.0190761488626534,1.0487250848152587,1.0766762899560773,1.1006687013535124,1.1177721393440767,1.1264615645318292,1.129610390430444,1.126901360325596,1.1179052179049602,1.1070803729063432,1.095018761332033,1.0814142618262508,1.0697524397798381,1.0603893392478274,1.0555141570666757,1.0561788044525389,1.0635932315774177,1.0790651505379867,1.0999243768951201,1.1258832880520515,1.152196197820709,1.1772084680080404,1.1980172435282561,1.212004111099426,1.2187936292872121,1.2179053809199865,1.2104346748553225,1.1994160104078748,1.1848251767213227,1.168881350613511,1.1572772345606626,1.1486520965930551,1.1414342693075836,1.1376054002317288,1.1323581345327207,1.125986148238784,1.1150793592199948,1.1044364938708877,1.090259570848543,1.0761601350264431,1.062073278498851,1.0500993160210936,1.040510972147156,1.0348401473169089,1.0317205689018871,1.0261415492869255,1.0196701364395462,1.0140781515888175,1.0090714651674308,1.004425014590568,1.0039901077001057,1.0062456179144474,1.0140877946590514,1.0229460681901545,1.0304675087398791,1.0426788036569286,1.0605222629150703,1.0773033936654945,1.0879355487751545,1.0987178176972265,1.1094970677605462,1.1211189951329619,1.1251734347324671,3
Alaska,,,,,,,,,,,,,,,,,,,,,2.306774419954256,2.230806936638556,2.142724829056833,2.036207595378639,1.927029859107448,1.8209035331152599,1.7150642778920613,1.6110318567825916,1.5122740234889793,1.4128644630971063,1.3291835144419721,1.2517607921328362,1.1854462026165073,1.1254482781048583,1.0772331677624032,1.042584669373807,1.0192628004370548,0.9955846412593032,0.9702175300850828,0.9503559740392433,0.9270786879161264,0.8965303759411222,0.86870068372247,0.8328794684524659,0.7952483142596947,0.7556806781576679,0.7155405241014232,0.6703524228979034,0.6245084070610367,0.5903412611501913,0.5575108922730259,0.5362545517719044,0.5155014522196419,0.5121334006265763,0.5217924147282245,0.5380588243119,0.5364781119604358,0.5529975690775526,0.5743835081320122,0.5860890453270431,0.6033064282246647,0.6249113729506474,0.6353976318160659,0.6318066027619375,0.6238627731144353,0.6332209113400895,0.6466103202349707,0.6704125934431164,0.6857187817644765,0.7243075268093226,0.7573518924326221,0.8105442657907986,0.8676023305981997,0.8985121561030371,0.9419827383485531,0.9811673997402344,1.0098965092094874,1.0492349861805157,1.076895536407514,1.1311716084184307,1.1926636336372822,1.253246105919249,1.3246886540288132,1.4087087140645957,1.4992530798707508,1.5796856518482754,1.6371391585030075,1.6845258168967168,1.7072386548854785,1.6970705702589846,1.6660707389978762,1.6313564916031775,1.569064261924877,1.5059361821305246,1.4444412936836168,1.3934158118349056,1.3546322248082217,1.3087490701716997,1.2717435407967148,1.2438025852346364,1.2118990875638191,1.1867721627467303,1.166580484462804,1.1423930418683859,1.12511512913029,1.1001635136079349,1.07417289697405,1.0579953223498746,1.0397188280619867,1.0338700699835135,1.0321984605583507,1.0366499452397746,1.0535325117645753,1.0754034292044055,1.1004910392367035,1.1326153120739733,1.16254360821963,1.1937881422398322,1.2168695908933391,1.2407244532871133,1.2545544407811917,1.2729906444621766,1.2818248532834409,1.291377811703598,1.2921179429185625,1.2923307672298012,1.2920585855276232,1.2878738401547882,1.2823568018264913,1.2713598929688024,1.258034922740632,1.2401364494712885,1.2218324574595496,1.2032114772545452,1.1870825360186168,1.1701015874686242,1.1545827869193444,1.1456655830641616,1.136985323871533,1.1331803750002565,1.127103675821611,1.123942542779027,1.1201917076189662,1.1173348021891707,1.1122677404157875,1.1058736406802263,1.1066546561394017,1.1019056404878351,1.1018379290041267,1.1043409666606743,1.1034372168600015,1.1096059453433351,1.1215323160791806,1.132192205661073,1.13743127350683,1.1432879816360086,1.1440487929988956,3
Arizona,,,,,,,,,,,,,,,,,,,2.2734410513262278,2.2037525959480746,2.1196203256659927,2.015569928582215,1.9073097902649665,1.7942773175843314,1.6899445895640088,1.5861633606303385,1.4904112476785274,1.4050918125735623,1.3278231308214012,1.2610981057041912,1.2037615994723392,1.1560190628917053,1.1161546229639132,1.080434651767772,1.0488738466394665,1.020399253042132,1.0026244093888455,1.0006977265954964,1.0088558644460388,1.0201699257072556,1.0311995418378412,1.0457576445469159,1.0653579000751083,1.093825669665791,1.1263513211525928,1.1649547445318962,1.204453333911276,1.2386695828499632,1.2637063167521592,1.2797768218063248,1.2841946159448265,1.2752249119162786,1.2578600932887576,1.2309028001739757,1.201028025132791,1.169612127901109,1.1403592678791301,1.1116065735511262,1.0826663293552938,1.0556507376244686,1.0311025109878131,1.0031448491987884,0.9771442821656076,0.949406663183963,0.9241284778195105,0.9002113071285295,0.8801886456092018,0.8655174976885462,0.8568187074160534,0.8559079004298286,0.8618205819169098,0.8719294363387886,0.8856253837445152,0.9007802947831958,0.9161270419465053,0.9306491078968222,0.9438434782843467,0.9577687803765591,0.9700575479998119,0.9833159661035048,0.9985282971935243,1.0161803707968655,1.0393064155045728,1.0646237433487764,1.090058022200072,1.1147459713268226,1.140813226236712,1.161469341061771,1.1784592542250376,1.1890376919448633,1.1950755145772,1.1984247091892153,1.202110512526537,1.2025111408275246,1.2059788902242252,1.209811017960791,1.2145278892639841,1.2200340938174867,1.2260695703658797,1.2306212336188458,1.2345715180987997,1.2372845867606386,1.2361227447290295,1.2323427090982193,1.227803117815891,1.220928628704669,1.2104734000265243,1.2019088200574917,1.1951565770288948,1.1906908442649897,1.1898083451964148,1.1932679269889073,1.1986792333102094,1.2042776212488995,1.2102987343027596,1.2164543282070763,1.2202531252103292,1.2194946230012476,1.214309138615215,1.207743656140905,1.19577929290512,1.1803090095084348,1.1640733649578023,1.1435171491230993,1.1232653242357769,1.1044409989541881,1.0836132814662252,1.0631998391148767,1.0458107559832421,1.0289252242723297,1.0133851523896413,0.997996836515192,0.9849725432277916,0.9716500420777161,0.9608791260907439,0.9505501342062044,0.9435548277161454,0.9363077275041887,0.93053895964576,0.9286023408166971,0.9305183384516997,0.9377002577250049,0.9429674011402498,0.9482515344296925,0.9531983692982742,0.9536203466840578,0.9496710854807884,0.9467045331508708,0.9409346995878203,0.9401448420522713,0.9444865662505981,0.9497694392630697,0.957201758805814,0.9577213610876469,0.9718272762360394,0.9759767751251536,0.9807150133912736,2
Arkansas,,,,,,,,,,,,,,,4.288442900854447,3.871791867148273,3.4818626027485498,3.122091725706209,2.7836224724820626,2.478355165886547,2.213749411179197,2.000594266059378,1.8360611647041796,1.697054140973855,1.5872700089535505,1.4920475062954281,1.410938532477204,1.3350181633975473,1.262543829389635,1.1941831965430443,1.1298410457990187,1.0742495230090565,1.028318196794355,0.9931663455177782,0.969093368118829,0.9557837046912043,0.9566847406878978,0.9722015899814771,1.0054733594472196,1.0496789218390283,1.0972309594267413,1.1434275073867612,1.186175886580604,1.2242038700923628,1.2536380718748015,1.267975770324525,1.2689000187775252,1.25154940883367,1.2162432440980981,1.1638914315642737,1.0963990458135322,1.0201874493344714,0.9421135415645134,0.8649151606175984,0.794838231844932,0.7381337346639132,0.6957640801457656,0.6718102223794692,0.6681114143488236,0.6825551679456041,0.7127275352518506,0.7578644378246411,0.8121633999290183,0.8725919866909375,0.9323531359091325,0.9875824463795857,1.0339892348658657,1.070580266608388,1.0969880801930993,1.1139267585312886,1.1285720392185041,1.1391373668169122,1.1465983748263922,1.1523265977354646,1.1563688597257042,1.1591632013962734,1.1583364878861317,1.15634205796976,1.1523077367137822,1.1444155684971142,1.138003078435327,1.1327748894673269,1.1314532354920566,1.1343716294443609,1.1446687978729315,1.1605988827066014,1.1808679894260272,1.2046714015927449,1.228609182089301,1.249998137315262,1.2652876568493576,1.273064061428357,1.2711953993026435,1.2607823111722027,1.2405825888056328,1.2132104316295664,1.1841189106905312,1.1551479475100357,1.1246831880508892,1.0962388505158893,1.0700657025198865,1.0462275167107962,1.0236169617803252,1.0020701545655877,0.9838446573527083,0.9702715681312426,0.9566271290549649,0.9495255033567271,0.9464758053277811,0.9487101126402775,0.9555512015248334,0.9678246454509993,0.9817230611156245,0.9949986474939061,1.008657800632017,1.021385589163971,1.0318147744843689,1.0421271140782071,1.052384524176471,1.0623922963924888,1.072052995944505,1.0795986865795357,1.0886245925141118,1.0982323096049045,1.108349773656625,1.1192356836536321,1.1301864263856065,1.1403896706809427,1.1515476955251855,1.1614337552963594,1.1706001628792528,1.1777837693817128,1.1834504646891637,1.1861519507523677,1.1855055694568135,1.1808821214524765,1.1718337077006917,1.1562635887887123,1.1338468870863192,1.1096385833741103,1.084882668720655,1.0542990264093142,1.0284977817292553,1.0039685194448174,0.9829228918337249,0.9721954555914667,0.963846228746314,0.9592098725994223,0.9569201087334678,0.9581014430560497,0.9644270481944761,0.9784240658372504,0.9959419759220223,1.0094449452288083,1.0209483945322355,1.0365127667826002,1.048054968479391,2
California,,,,,,,,,,,,,,2.0390645457782304,1.985040538857278,1.9312286195649686,1.8773208472098046,1.8271222134526792,1.777651928955667,1.7288668861453327,1.6800475873654972,1.6292821761552712,1.5832655592079081,1.540258652495987,1.4985189458492463,1.4590166994036227,1.42211161584669,1.3866992784978056,1.3508991764496876,1.3156670190364426,1.2883410071412689,1.272459560249278,1.2631945038061045,1.2450422123479106,1.2166205118601883,1.1794638951716316,1.1380208378660823,1.0962543494877273,1.0576472281515175,1.0235025049379798,0.9952465137846792,0.977219890176698,0.9657984804257242,0.9578034370955367,0.955103589700202,0.9537868142202852,0.9489161379470645,0.9409336589838277,0.9311093171713704,0.9173708643816453,0.9028566657168375,0.8891543476687831,0.8779748058140007,0.870007372198502,0.8668400301610575,0.8696918268926703,0.8796442827617179,0.8945654454049745,0.9120292841213159,0.9298530798037509,0.944682221631577,0.9570536525714811,0.9659684039222854,0.9678085707388382,0.9653291247987068,0.9581747452556683,0.9495058653506243,0.9405698448038617,0.932593986346264,0.9280045002478705,0.927117443344255,0.9295961332077511,0.9354086756627141,0.9444210088140732,0.9531339415246528,0.9629262827189056,0.9695874255159935,0.976346954141108,0.9827306336835689,0.987590133516261,0.9936440649207836,0.9972345266935566,1.0001515978285318,1.0032702128650182,1.0063492917886612,1.0075308511564973,1.0073718948535073,1.0071308143987745,1.0054051938436732,1.004446224621583,1.002032100319616,1.00157304642046,1.0030856820546505,1.0047520373459506,1.007265351942915,1.0095947326076875,1.010851714687935,1.0131922833146358,1.016969811475303,1.0211929953658676,1.0244686016566322,1.0292298794287345,1.0350606441664487,1.0419705992654942,1.0512560756386775,1.061869803939088,1.0747708237312277,1.0885528731806156,1.1041625838594848,1.1186886997620507,1.1318129229715266,1.1428959094816575,1.1517017216029066,1.1524507794857208,1.1509579281752824,1.145817446510768,1.1370733323962834,1.1290227364777432,1.119951465145729,1.1134963390800492,1.1064577898732275,1.1014548027207423,1.0997260867571543,1.0991151448796708,1.0979055463140375,1.0984849133156387,1.1020221890900859,1.1034316083337847,1.104214700399163,1.1052607440167594,1.105144379391917,1.1063233422252408,1.1053039455700142,1.1016007495839868,1.0981845431159418,1.0917620146064229,1.0829119897887438,1.0683619552581831,1.0493704029597195,1.030428833491488,1.0100906022852048,0.9926654359841727,0.978862543745729,0.9665023672523623,0.958508719518504,0.9532279951722525,0.9471598726433564,0.94096965919767,0.936092498700583,0.9306580552338937,0.9315834174283584,0.9289246848683106,0.9304702982575119,0.9387157515199328,0.9392127792385093,0.9424165386293384,0.9412727246546011,2
Colorado,,,,,,,3.8034043110339693,3.7397471489640095,3.620716986235793,3.4547382082714333,3.2652753553291296,3.0831314020242373,2.890952659263329,2.7241952572250656,2.5771717222054322,2.4401678733979573,2.308341840654382,2.2018596670707664,2.084992126152807,1.9768268459413934,1.877436804615774,1.787386242434656,1.6983525593256459,1.6083498586603575,1.5214871733007933,1.4408366777655228,1.3627455382231002,1.2915058537699649,1.2293854874122605,1.1778589489122036,1.1375567115029706,1.1113140372977295,1.1015437718050398,1.1042149086324473,1.11094646097557,1.1170065074425746,1.117864812420149,1.1112974915119325,1.097204495214899,1.076719989936063,1.0511277619487873,1.024504842148047,1.0002954877917685,0.9801727108131415,0.9683621884769255,0.9622957903864626,0.9642614395242142,0.9696643181377467,0.9767267190898169,0.9852843473816644,0.9928137482223022,0.9984736675527179,1.0042724982380862,1.0077526342540333,1.0110118967239143,1.0136124730918274,1.0144104690173457,1.0106731328722924,1.002872145870593,0.9882001470260373,0.9661199839772578,0.9378390106034163,0.9068241649463924,0.8725506774776298,0.8407156114986312,0.8124401979886026,0.7895883470843947,0.7739228908709382,0.7661842943094928,0.7680776896456701,0.7764557010569559,0.7883725628534024,0.8017067725034652,0.8138238641585822,0.8236344870513133,0.8300254100894298,0.8345922010655558,0.8376060969838318,0.8381910605092726,0.8373174633132907,0.8374176187754971,0.8365904019751356,0.8374725909117142,0.8392415660971893,0.8401814067467281,0.839364690163189,0.835981675915731,0.8323959806949592,0.8265577045790331,0.8183154472570306,0.80675500801846,0.7919800663235064,0.7751658718840017,0.7578896747776256,0.7399761334247807,0.7258399553053079,0.7148043827024668,0.7093832931389933,0.7088356575614212,0.7157952424411552,0.7293705811095459,0.7447062812521796,0.7640420058945467,0.7812741476389031,0.7955273041112454,0.8030082812833531,0.8080299914959737,0.8108576191399213,0.8200949163406265,0.8383907974704796,0.8680455287589328,0.9068006607788028,0.9581121917183338,1.0126361826730612,1.065838735467701,1.10924613563643,1.1397273945718585,1.1557189829781165,1.1556151715058869,1.1470744763377163,1.1354838644818004,1.1255621978857002,1.12229846859683,1.1262738341863334,1.1348113050160058,1.1522069249513145,1.1700809700632793,1.1851450558817023,1.1955471849869141,1.1981076987543395,1.1943805808117343,1.1857015367526413,1.1727957851422643,1.1536538266990695,1.1328544791576913,1.1103104130095924,1.087578139503984,1.0689137134486835,1.0542514639498366,1.0490371645101622,1.045207804738201,1.046100159625085,1.0492445316962484,1.0478671470213317,1.038106875305406,1.0215921179439138,1.0051571527813299,0.9862598963941185,0.9662108177355073,0.9550903527535841,0.9565257569105198,0.9588005073431547,0.9665141595157689,0.971813237112813,0.9815108092531375,0.9907712561813761,0.993917925346324,2
Connecticut,,,,,,,,,,,,,4.727831096001556,4.421817489730577,4.127541578054444,3.849014781984344,3.5716124968535854,3.317412169187981,3.07970885674414,2.867649284661542,2.6856102300776827,2.514555336615026,2.3575628848643246,2.21726687311081,2.093833953073019,1.9756320712359023,1.877316734576846,1.7868005967779808,1.702245949559986,1.6293296114256381,1.5561718288676112,1.4854658712038171,1.4175955245800496,1.3562821793133442,1.3015803519739022,1.2531913926970697,1.213018127035118,1.1748783329192256,1.1375381056386074,1.1009534639005991,1.065681156090851,1.03455889628806,1.0066435238292812,0.9856382698602209,0.9700437540680604,0.9590750901452207,0.9514462633959067,0.9465370443427906,0.9399571392712284,0.9297608111680771,0.9162009489834102,0.9013312046107049,0.8826161789233747,0.8651566596305558,0.8484474356323921,0.833360057628277,0.8225744710682663,0.8158349656442496,0.8136880815059502,0.8132325988228621,0.8142114951676336,0.8163246733184396,0.8191983317341939,0.8208083744582111,0.8201708593649346,0.818235205613675,0.8158066788412572,0.8111769877572959,0.8069409815851105,0.8016438890729056,0.7945131463037725,0.7849170787919384,0.7753081452500763,0.7633432467539638,0.748721929965413,0.7338982215044793,0.7173612638978981,0.7046592722517703,0.6924444026752394,0.6869799930324785,0.6839486837312098,0.686719306001856,0.692915526019855,0.7013447751754952,0.7127382954401285,0.7222019420109783,0.7300814496781483,0.7340660455203601,0.7309793248716829,0.7236659038975989,0.7157558554720589,0.7071653339156878,0.7027413962086739,0.6982993637296493,0.6983145457514155,0.7000014277669595,0.7049804487321533,0.7103270879640291,0.7143582505497859,0.7131392845498339,0.709281887867999,0.698770046162011,0.681465475450698,0.6611489381142888,0.6400385554097475,0.6204842676499687,0.604298886633845,0.5976042114273885,0.597288346627777,0.609000354894035,0.6324618445390409,0.668508141511901,0.7176436044004837,0.7763412868245132,0.8391958143032042,0.8990417253687586,0.9536185233354323,0.9874536088346143,1.0111665091221673,1.0196181827407818,1.0099469022674497,0.9816493948874367,0.945247883492259,0.9043728121785755,0.8643450389937758,0.8360638148607418,0.8153709475286987,0.8029090463999462,0.7999103814746302,0.8152446556151386,0.8316304304116993,0.8551165641056941,0.8763688739281013,0.8993647324519197,0.9132983502370938,0.9226534428108344,0.9375084622511121,0.959421364358866,0.9906445533763986,1.0283802344340032,1.0704480526085502,1.1189253245450725,1.1654891320289478,1.2064201894086277,1.2134536335479704,1.2002703374181465,1.172598084686197,1.1330748836025344,1.0930832813525748,1.0572754568599718,1.0180601670266798,0.9754445258085007,0.945330089312435,0.9223579842339893,0.9087684243913973,0.88677777176839,0.8770933248345,1
Delaware,,,,,,,,,,,,,,,,2.065354293790356,2.0304533294061837,1.9874318220974185,1.9402408074722937,1.9012571796683957,1.8787043269604387,1.862715066902332,1.8535556111774216,1.8422644550651557,1.8226058637031146,1.7975773078526303,1.7670216904361293,1.7293523528126875,1.6866475664470078,1.644316605595507,1.5973476270801314,1.552142053789019,1.5064477720099594,1.4591697761602185,1.4146055557135573,1.3781014245386638,1.3483153557114194,1.3235872513613702,1.3043119202453852,1.2862259021764928,1.2691855640058067,1.2499897656605374,1.2312845590891577,1.213540470594529,1.1935420913271488,1.1754348933477061,1.1591225048922023,1.1440479488992286,1.1290514021387936,1.116396373776284,1.1073534607356184,1.0982844229960027,1.092138558000923,1.0864751213840762,1.0799331607595661,1.0714260978276848,1.061475982642899,1.0475390185212112,1.028562647428553,1.0054065022270244,0.9770666469465126,0.9456559235155382,0.9121726895330373,0.8825753904181337,0.857303104158491,0.8378432119232518,0.8253577926117258,0.8200189169519874,0.8222392573565738,0.8309695712343725,0.8423123285302405,0.8543280427623947,0.8647475048249016,0.8712292146807645,0.8738704452666528,0.8711605027291338,0.8643568890917845,0.8562750362789404,0.8496382828957438,0.8436255860349369,0.8381078695690573,0.8358204964741439,0.8378321701581329,0.843702361518298,0.8530146373590721,0.8630944532976664,0.8651478298794526,0.8579568049129598,0.847629663931096,0.850113331951361,0.8714388561370505,0.9025551421345268,0.9334797553376191,0.9540784143846879,0.968567902327946,0.9756302000236154,0.9771975133677999,0.9688831867136263,0.946191946855537,0.9058726733381781,0.8485802026237771,0.7772105212932883,0.7019674566444574,0.6330548228902775,0.5764179796260056,0.5378516054913532,0.517494978778889,0.5167880380573975,0.5328735820355774,0.5666875877056361,0.6128323386127787,0.6658573556067919,0.7173092226858997,0.7678303950569771,0.8186735723504213,0.8661088968411498,0.9109662254184561,0.9500339118469913,0.9925535700453041,1.035626308788835,1.0891960117793158,1.1485287164748317,1.2158673521142114,1.2844256097844533,1.3500667346411435,1.4043650473414024,1.4423248427891013,1.452664077313686,1.426116905538711,1.3652837259369144,1.2766236436225054,1.1668569533707551,1.0496509138461687,0.9350826768189905,0.8340356552324655,0.7560803042437195,0.708854693937702,0.6972291584652206,0.7201826302146137,0.7617900242891764,0.815807063304161,0.8732041416193159,0.9191934365272416,0.9522855003442877,0.9585937486027676,0.9540998762128987,0.9408678981247054,0.9290931017869163,0.9225826789696774,0.915035385851875,0.9107530725342367,0.909891655474137,0.9180659217732655,0.9373296543166127,0.9553645896180172,0.9647758347302686,0.9723641125009042,2
District of Columbia,,,,,,,,,,,,,,,,3.3345787017246984,3.1994208343717094,2.9380972614158054,2.800312647636363,2.555204072901243,2.363078174393303,2.236995458295933,2.110046766613513,2.011343624460622,1.9492112915684596,1.8826376561645541,1.8090056811234176,1.735578607581023,1.6681909701627573,1.596940367058934,1.5301734253292332,1.4693603114797795,1.4089558358576797,1.35271133416538,1.300080519701857,1.2568427896723022,1.2151521947445787,1.1732147952422236,1.1360396082317272,1.1074588674396006,1.0959275230065728,1.0961062369771912,1.097375826717364,1.0993280009184963,1.0977241591358462,1.0968367975767848,1.0956424863272174,1.0919718760337815,1.0869171429467146,1.0817972644800151,1.0725252626383943,1.0629899793524378,1.0501638562118165,1.0368226266551948,1.0228161704810683,1.0110473239370954,1.000126591779214,0.9887981803208239,0.978458521335992,0.9681600790199025,0.9581676344352896,0.9466432168959267,0.9331411842479658,0.9159270294463331,0.8966022170503678,0.8746935816366552,0.8530511550622772,0.826864746486929,0.803841430343079,0.7810076641758429,0.7598951871967887,0.7392371123593267,0.7245940019978968,0.71310278042728,0.7074838848510968,0.7054234554483464,0.7096754978521504,0.7190646767706212,0.7344527436207376,0.7510440379576174,0.7710842162868639,0.7922890435327938,0.8127446973770953,0.8307078062275008,0.8454989370215957,0.8561453266789214,0.8640971317670016,0.8717403389794337,0.8756304553608383,0.8744161715062583,0.8696722037824358,0.8673610198694566,0.8639600517868768,0.8580295780093989,0.8507328615042278,0.8435478576430183,0.8341480496389378,0.8230856786993666,0.8102263756211021,0.7944895357978086,0.7745419864876356,0.7538982436417311,0.7328883748795627,0.7106107273932618,0.6922787360786047,0.6838111340138397,0.6829580958016297,0.6924921424151624,0.7070567335460607,0.7270894984350926,0.7531183622970588,0.7734635685212751,0.7927547742711691,0.8065012163754067,0.8163241529425214,0.8259627959008464,0.8356329126316622,0.8477417391520243,0.8643970980504225,0.8850070928731608,0.8997904368805367,0.9145361754670365,0.9284227478829931,0.9386355687399897,0.9462144301490556,0.9534694540115547,0.9591615735315889,0.9669698232754709,0.9796430410299848,0.997410518613865,1.0169865776545914,1.0328063020962888,1.0459313035818145,1.0549118540792266,1.0655980855777232,1.0697112017086658,1.0771536390597762,1.0867241980739786,1.0971846745728318,1.1008352690581669,1.1022955536563805,1.0960765897087814,1.0873961074849092,1.0698405437105607,1.0500791978646542,1.0279901996911265,1.0097778764125223,1.002235943800426,1.004860507342332,1.0030932276221995,1.0097248801896888,1.0242665524336942,1.046094157040335,1.0696918346738853,1.0833492662215458,1.0898328620498245,1.1006694246523518,3
Florida,,,,,,,,,,,,,,,,,2.4668722486165002,2.3485286904855354,2.231706216244757,2.1213768775320343,2.0212322921609336,1.9317589016898327,1.850441456192292,1.7748143358083805,1.7037796100447278,1.6361895632554209,1.5697194149916425,1.501871766502029,1.4327771601321073,1.36449822103473,1.295432802984724,1.2289151321916045,1.1659740293283474,1.1084113975153427,1.0554798609568126,1.0074561058900238,0.96914706389046,0.9452569968900146,0.9342266927813987,0.9293162193917013,0.9281082863264336,0.9288330551305342,0.9324850395304067,0.9375194633733971,0.9419994606180959,0.9458820505549221,0.9482222116563783,0.9478615323235939,0.9453342656957402,0.938381556976338,0.9283243434543643,0.915260305660863,0.9004563427619063,0.8870943900015942,0.8741153181584187,0.8648776553876035,0.8609893792793116,0.8596781801890709,0.8647630049136424,0.8732557400481911,0.8833467202476861,0.8920479437678794,0.8973974616711047,0.9008733174844749,0.9021698281724904,0.9016079190261274,0.8998875713880476,0.8980798738770932,0.8994391370016378,0.905012299984562,0.9125091360623775,0.9227527880391869,0.9355345091904161,0.9463243650418536,0.9556200709868532,0.9606755857824728,0.9608812076473698,0.957276617801022,0.9506531188973004,0.9406699597933272,0.9311299004788001,0.9220910478342099,0.9181994945450457,0.9208339910818983,0.9291591600972736,0.942090538590773,0.958367634954586,0.9833585022278646,1.0086973452240193,1.0365628208663034,1.0633332896416174,1.0881654757888055,1.1090185317765844,1.125222316967116,1.137884514758042,1.1477091637402186,1.154193009796401,1.159996367767255,1.166344876131049,1.172817123012474,1.181139480479421,1.1943256034864334,1.2065432878171447,1.2215902879738276,1.238848571875884,1.2553492408857596,1.2728288229961127,1.2924139446204164,1.3124435383293755,1.331164180582134,1.3493144413685199,1.3656947899357115,1.3787829540818484,1.386315430703693,1.3881873095880226,1.3851559640552789,1.3764701529215135,1.3632042244951803,1.3445046378982908,1.3243642887448588,1.3010072385811429,1.2776098301312928,1.2557601137169727,1.2353677457683494,1.2162519846448232,1.2005606783742815,1.187165287270441,1.1767565363685744,1.1684634428869836,1.1623864472976935,1.1574678101272826,1.1531873662851138,1.1479167686900147,1.1422747393152086,1.1344685702940636,1.1226849018279823,1.105212042125184,1.079909110400991,1.0502362300988444,1.022501338424242,0.9984037979761966,0.9779853476107025,0.9632313571417342,0.9517901187971848,0.9491286233608688,0.9488429243361077,0.9510212405550283,0.9520907603871965,0.9588183549477974,0.9664235833468213,0.9763943778030749,0.9914012325941007,1.0064860965196059,1.017702117123593,1.0294509846432895,1.043255405580783,1.051561123350866,2
