,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,CRRI
10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9723864301096796,1.908219806329286,1.8374683737638402,1.762494212293376,1.6843821374520644,1.5986325540423016,1.5289898794127745,1.4735101251975733,1.4339946158995915,1.4117119618833347,1.3947766459620428,1.388524323052914,1.3817511071032116,1.3716622907277087,1.349742931467416,1.3110749311625929,1.2662873586407946,1.2064335788472953,1.1406317193766742,1.0817684062725168,1.0264956979931692,0.9817974449285645,0.9567601509117302,0.9596919396147199,0.9791565055664424,1.0173611494087615,1.0601661290193678,1.1102677305394009,1.1493360132838149,1.1681679013166952,1.1654923147255105,1.1415825474496715,1.0956110611464922,1.0404296523824814,0.9694816094916321,0.8956298841794874,0.818268133366115,0.7522332609110658,0.6847435156434137,0.6313800533294085,0.5927976406948525,0.556395501624834,0.5356785830862585,0.5197826596181147,0.5235594210963717,0.5221324152465622,0.5388408505871132,0.5778539690542126,0.6287449023864957,0.6841179815569896,0.748989225007061,0.8095585764477768,0.8616759762668537,0.900573163787473,0.9509577535014277,1.0011868278859888,1.043831026973681,1.090515369024721,1.1372665598231357,1.1749050031222703,1.2385448583562422,1.3040021061180882,1.3670549253673085,1.4193195544208703,1.4672976064253254,1.5143576569113655,1.5373860348447135,1.5554392854233003,1.553733458383202,1.5473009789937513,1.5213791168783866,1.508019970148755,1.479714023778306,1.4502799280516157,1.4286406070240354,1.4031764786633176,1.3828369907840985,1.3665599032346973,1.3486575601406223,1.3292880201616142,1.308343636746495,1.2782187793046875,1.2453851437909473,1.2078018547513711,1.1684346016261336,1.1250510206980482,1.0793140621900754,1.0350160346963682,0.9963274813694455,0.9640442187558115,0.943754294692245,0.9319116460375749,0.9235834331766758,0.9243802093563334,0.9349521620059709,0.950798839057476,0.9657278884730897,0.9785659169812511,0.9838727985631481,0.9887220301123794,0.9907978087350937,0.9847577741104123,0.9799505869021505,0.9711368651187344,0.960054594297064,0.9506932811503392,0.9441134164351894,0.9407216543934873,0.9339173292441171,0.9323603492166165,0.9272219193394667,0.9290179621126511,0.9251744749652393,0.932087596320216,0.9381755200814186,0.9444833423266586,0.944644455551792,0.9486607454567706,0.9423627655925697,0.937954854321052,0.9323884607900752,0.9103689767982048,0.8797744484926336,0.8448126492698524,0.8038065999698238,0.769791894428324,0.7345321242949294,0.706382242691739,0.6867587565029252,0.6717114193859277,0.6776185859768951,0.6911659587702788,0.7211320853144425,0.7429385389712899,0.7703340674492077,0.7910270158157432,0.8087659058715533,0.8129751049943662,0.7970741023096187,0.7902745330297458,0.7655082571086433,0.7394554660851989,0.7261932271590745,0.7117109197452831,0.6990048761566074,0.6830695236214398,0.6953858904849768,0.7299062127087046,0.7649238771077289,0.8026160305523973,0.8176886034088313,0.8557385977477678,0.9304601438090285,0.9967920392065901,1.0929524338330971,1.2066451866078203,1.3397569509576437,1.4753544741904978,1.5820751899471261,1.632464775627248,1.6746530078188795,1.7251876183419257,1.761472827305373,1.7140675583445457,4
10760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8992213025242797,1.9039065077880597,1.9061703542553525,1.8857527941331265,1.8375029944468395,1.7800716495069169,1.7144106350902226,1.6389524702386367,1.5540361574776242,1.4665160081684185,1.3768896685968541,1.2907457572815915,1.2001286263349695,1.118432007744786,1.0368271987145004,0.9540524045236918,0.8703065128332903,0.7869282346061647,0.7107658596475614,0.6505383065336399,0.5963035396534347,0.5539718572108934,0.5325761967739175,0.5185699999977961,0.5153111664205205,0.531707465697498,0.5682197308219807,0.6093655392540243,0.6652579842063093,0.7283133762454062,0.7705506649598923,0.8285891857480522,0.8733388524371138,0.926494995703495,0.9686105420882609,0.998018525432702,1.032446872260906,1.047818685468959,1.0602419099932903,1.049778994785297,1.04827920519556,1.0508372870079825,1.0358051844569132,1.0204146333584685,1.007136069577788,0.9891397688961873,0.9853895721698345,0.9655687539673004,0.9405762521432453,0.9099480139247998,0.8663274711779447,0.8402038239261291,0.794273713108391,0.7808714043772029,0.7543401910382026,0.731454740517318,0.722631454454423,0.7213022246232903,0.7201999450269003,0.7429099769127607,0.7892517515926453,0.8248259129219468,0.8977365902703964,0.9414423169156562,0.9927621823207008,1.058395492871099,1.1187418191434206,1.1734475646331444,1.2150529157016396,1.241021968140942,1.2506835385212987,1.247852375975583,1.233526900856822,1.212514715008104,1.1874850748396728,1.1641322977885378,1.1258454849494464,1.105147822367019,1.0853236522424767,1.0697692350869352,1.057249962904228,1.055553165092114,1.048731717998054,1.0579495434751858,1.0667977848154941,1.0563568884942183,1.0313666198618843,1.0287918435011407,1.0255299393298634,1.009325777324416,1.0029926928257027,1.0030100908862725,1.0008708464674232,1.0147902758204632,1.0246643386594667,1.040105321308681,1.068414535935308,1.0843808605248464,1.0959664901409758,1.103993066473874,1.1171828418532717,1.1239526497162469,1.1093869097307754,1.1018485323043588,1.0788940924143473,1.0569127334555755,1.0327259074358373,1.004331825683066,0.9820349728639233,0.9665072506271732,0.9458425048632174,0.9398004079606783,0.9443603256476388,0.9689589112489214,0.9849111895222845,0.9884289235751638,0.9986933244565352,1.0058401417501543,0.9979727139393818,0.9950528512028781,0.9839830149746898,0.9619249535435648,0.9354484538961896,0.9118407169480629,0.8842198999148765,0.8364063784526214,0.7871595592654641,0.7622383269472233,0.729573599741639,0.7091169984080185,0.7043683374345401,0.6981010737115955,0.6984320675448719,0.714852013694462,0.7287783744781547,0.7131668423802191,0.7097781356695779,0.7169158918352672,0.7226692326440773,0.7315030628197345,0.7547767930699665,0.7758885050770921,0.7759165060582902,0.8478835462596143,0.9015305171084198,0.9775963821007743,1.0443455315963774,1.103671809832372,1.1305958774240832,1.1573833200450925,1.178243068498012,1.2013206091818893,1.315472336940916,1.4035922411956545,1.5479272326204012,1.6989909352877377,1.840517028779793,1.9445659136678526,2.065449253434608,2.1162946671184084,2.1454780760932097,2.1087345971555447,2.1018923575170456,4
11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6832725444620054,1.7316399597931653,1.7733155909806264,1.8023446943366368,1.7962819968266799,1.7828409692952505,1.7610974901783458,1.732410935242156,1.7015467182396384,1.662444844351319,1.625888631118047,1.5944845928235951,1.5580762057422002,1.5260193777568147,1.4938257098299141,1.4678250153582173,1.4363960189326033,1.4011400379789265,1.36932598294609,1.33544996355154,1.3051629141306522,1.2820922537794914,1.2612474192354792,1.2482262085657276,1.239034632316487,1.2383718838550553,1.2380627305038547,1.2449711861834063,1.2565147170276894,1.263717543111266,1.2616038872843716,1.259745174513259,1.2480550516846574,1.2353615688799373,1.2107351844991103,1.1746699899151194,1.1346169974367935,1.0957592196559873,1.0470949164759351,0.9960525465744932,0.9441210817046328,0.8960955790535436,0.8512976337915695,0.8099911558382125,0.7732555723503294,0.7489083849524278,0.7299147496531466,0.7249584640342297,0.7232162202505882,0.7330465595952269,0.7506000730876234,0.7738036182443577,0.80067179237716,0.8265463053862538,0.852782094501457,0.8739606565271658,0.8950446821112938,0.9175850516577743,0.9391771805564081,0.970275762804033,0.9971222397184938,1.025901381216786,1.0587734029651883,1.1018481897788703,1.1421061723391617,1.184786730222897,1.2280408037313473,1.2584772491283993,1.2765688687605765,1.2743670938579743,1.2675818980379998,1.2795301062736157,1.2981066618615826,1.3223669968569425,1.3647282128452363,1.4085026711033444,1.4460910008489685,1.4519918702455308,1.4328932913318926,1.3967603811874725,1.3689322683774625,1.3482894759935315,1.326736047700349,4
12120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4510091720967795,1.4886453215996638,1.502908645267787,1.5144156652850018,1.5233067193424483,1.5198426106039928,1.514738042042687,1.5114475229709519,1.5123438905008397,1.5064314834691404,1.4987445880571921,1.4908744190774965,1.4760865521096536,1.4605889595176558,1.436202592068518,1.4142543117300308,1.3805635827409728,1.3379755656397962,1.2952098503073468,1.2475488650967366,1.1986247632549665,1.1519894790582674,1.1100138350798279,1.0678795763860087,1.0348727645688398,1.011900760743937,0.9981325973528283,0.9958697994954366,1.0026866927048312,1.0161906518768253,1.033796256692958,1.0585678205977995,1.0750510381240261,1.0930575304445598,1.105621120816627,1.1090559358978598,1.1105580405683664,1.1013377972793474,1.0836981312702445,1.0666950667600135,1.0453364823598752,1.015596566276236,0.9921041103341797,0.9677487203622923,0.943473630128024,0.9223793366298448,0.9040806092174218,0.8807035797431115,0.8545509484065801,0.8356290528656098,0.8016215590496454,0.7609468798782197,0.7239225600202157,0.6841032889768934,0.6546053597071113,0.6211060903644918,0.6136691458193827,0.6007414413443797,0.6116912726194822,0.6317028014273556,0.663026769271297,0.6958423885655819,0.7328394250083685,0.7783546152824774,0.8142399473372279,0.8369994080368988,0.858977537589213,0.8861410027427316,0.8965865163280007,0.9060453506929935,0.9195200601572089,0.9271737960931032,0.9409480706126776,0.9826110127183001,1.0010569956138355,1.0435454809575404,1.080007200357322,1.1219696906017835,1.1333669629047516,1.168229899141913,1.209444700901484,1.284474458264051,1.365576669857399,1.4860365988268425,1.603918809121705,1.6995573770837784,1.7597013306022786,1.8009483705641554,1.8490438963218203,1.8763053268111793,1.8341809303823213,1.8004927573053293,4
12220,,,,,,,,,,,,,,,,,,,,,,,,,1.764081000143881,1.6893927474144563,1.6235589552658598,1.5619894365279587,1.506743990134784,1.4694018308026227,1.4425168237885795,1.4109881733573713,1.3966737689825877,1.3943209490501511,1.3985328233197227,1.4066748005997316,1.4041285809147317,1.3833588316570433,1.3530735760263697,1.2985379179876528,1.2399150665995173,1.1684037154288185,1.0940944300610342,1.0185146893778614,0.9425650535949388,0.8742964922462728,0.8116141614671113,0.7580503835342904,0.7261469174223051,0.7018231951126661,0.6869759049789814,0.6800096836951892,0.6749800806550048,0.6819886616343791,0.6854421217964835,0.6874817098272321,0.6915642422261278,0.6841045289799148,0.6720806897086151,0.6608829968660517,0.6485246678844407,0.6381525276923619,0.6310520246276804,0.6324813670428093,0.6345069129721936,0.6478486031573287,0.6741207932755076,0.707214814533415,0.7400955984616007,0.7577955757348185,0.7919040543400991,0.8256825090871255,0.8666707363123989,0.9037447280175204,0.9473962742006007,0.9914780286377127,1.030613314475365,1.0825859019108188,1.1452212371446466,1.1935068549082022,1.243116982897332,1.2713131184687239,1.2819591227222413,1.2747483300518794,1.2488410086127901,1.210032156187157,1.1634266506635407,1.1130226224061346,1.0710640225808334,1.015550180005485,0.9773549068176298,0.9557074519959371,0.9444254214033467,0.9447594910397613,0.9763762839615938,1.0242576744799137,1.0780917825100758,1.1312817258737025,1.1922898208286616,1.2599652984489476,1.3243442708949007,1.3795372258569283,1.4224674017906762,1.4505142545866954,1.469790008481064,1.479790370033974,1.4832434177239917,1.4730617617245088,1.453445193342588,1.432749046551772,1.4123168212849535,1.3870258197547098,1.3631390772431127,1.3450083149478624,1.3308483696683924,1.3096192491467105,1.2970903371847107,1.2795469236036183,1.261956490832405,1.2400163723933373,1.215248197657648,1.190394725245099,1.1602205082649855,1.1269460617214315,1.093893384275287,1.0625734901253683,1.0371833850561405,1.0218162707043348,1.009387538264378,1.0045768074514914,1.0125861722840714,1.0258111596027466,1.0384735867982182,1.0506135331850874,1.0557981180194316,1.0550897356538391,1.048203701770014,1.0356510479690675,1.0151754081373845,0.9870416187566537,0.9571498730617298,0.9324339893821687,0.9083246930410139,0.8876867367486909,0.8757790015539126,0.8718886520597269,0.8633951906096496,0.8594456621559012,0.8603740560004918,0.8683805887038332,0.8762760478337441,0.8866275777827048,0.8914528750337399,0.9010906373443617,0.9031076992553613,0.9046791585774322,0.90343196213504,0.8979133343750014,0.8878415298537992,0.8635325688526413,0.8443072612323166,0.8232621465485508,0.8009953901219626,0.7882938430033954,0.7811832088099797,0.7809814544921267,0.7810814376588767,0.7922563543144926,0.8099352964592079,0.8295155707975692,0.8598119867208978,0.8976952403475527,0.9424806904580816,0.9997738983282467,1.0602279756253652,1.1239649858273437,1.1969806826228577,1.2775522140576312,1.3472843578147042,1.4069976959401518,1.4491301882952121,1.4756340695771395,1.4832648762074254,1.4783000418461594,1.4497266585812054,1.3940239939551757,1.331865628443154,1.2837277201381943,1.271432796835335,1.2862927712624277,1.3499370275006768,1.434358069207378,1.6124492226665894,1.7946590404949734,1.9464739131343722,2.045571260915919,2.1551048199096847,2.216913327820876,2.260961766065033,2.2568029581878237,4
13820,,,,,,,,,,,,,,,,2.6067740198426463,2.586842858796203,2.580529210984994,2.3892140542743645,2.223021817456769,2.092475207282451,1.9218680490751872,1.7733908061097083,1.635483825985078,1.50637901240606,1.4063335945299684,1.333002018581984,1.2678027392285816,1.227630733437429,1.1963949193238483,1.169747226979891,1.1530267391127924,1.130399053520285,1.1035316606659809,1.074057158194142,1.0476158102944901,1.0227331914997468,1.000659199816373,0.9833665198831135,0.9713177179032114,0.9610316517562365,0.9523955459448619,0.9406839781847129,0.9255761544080368,0.9094683310594971,0.8915170492177085,0.8734662811719114,0.8589281613122748,0.849305465295443,0.8468425419993537,0.8514438891731521,0.8619369215807294,0.8694042110938595,0.8766029150197634,0.8814848072247251,0.8840590852779647,0.883153740590046,0.8803319450432916,0.881780795673266,0.8833576081428006,0.8900021856920705,0.9004506323246497,0.914101231492186,0.928871151315021,0.9445081095088482,0.9590274643430028,0.9678363395166862,0.9734298440840072,0.9761852087194243,0.9790443708168886,0.9798537192991832,0.9806890054857802,0.9755255757265784,0.9693566865937313,0.9604058618589217,0.9517203260716196,0.9431408890012761,0.9422515413413373,0.9493863325683458,0.9691198849037718,0.9967521587004353,1.0314290956879242,1.075017818955318,1.1125593955882571,1.140114766171859,1.1524764622736752,1.1471422464950782,1.1246454938748696,1.0899903923904493,1.0517714241249236,1.0160519520912732,0.9878108489893176,0.9729321638179389,0.9725662497850578,0.9854995841434306,1.0077224504517313,1.0353897484128631,1.0665116011816271,1.0978005835861888,1.1290666759488062,1.1599901824928205,1.1896892205144514,1.2162303901382545,1.238494605395176,1.2564241184418683,1.2678710978493002,1.2744862295150856,1.272736114945404,1.2611761702186461,1.2445829861994993,1.225520382921693,1.2095622831085127,1.2006536227926725,1.1955161942535792,1.1967923733992047,1.2071976479080844,1.2229957846665784,1.2379443755969812,1.251931999628636,1.2579671221214663,1.2569087942715527,1.245642677438617,1.2293772915368808,1.2070419690722127,1.1770671755865196,1.1490046742029265,1.123802908351231,1.1030887648674343,1.0898389393251744,1.0802437334225332,1.078553773613279,1.081338185061247,1.0862218061200188,1.0914421752084722,1.0943182410706596,1.0925294536229098,1.0858007873898132,1.0744556588795704,1.0564163345058188,1.0371482401151169,1.0185028575093216,1.0024902113759886,0.9909058963981543,0.9843535645784147,0.9798322217099504,0.9772944451363175,0.976137127152593,0.973790273356885,0.9673085827741186,0.9578540507265516,0.9446294699894515,0.9300014529757216,0.9189865960530896,0.9087091941527481,0.9044265641910407,0.9041821111498605,0.9036786488642192,0.9024645139769651,0.8996204537830979,0.8950056529408332,0.8890960823061655,0.8834085195019141,0.8801411083795936,0.8779335802848196,0.8798975092016907,0.881757449791688,0.8806451401838715,0.8762325887935529,0.862722793622729,0.8421843317402788,0.8133136837248469,0.7832889449746022,0.7578028479726729,0.7419692111896452,0.74476814544931,0.7733019196362896,0.8274356041168935,0.9045536168056401,1.0014706867145025,1.106586938443931,1.208157569469977,1.290372904215793,1.344885287504498,1.368874900744698,1.359426846269038,1.3204957447236252,1.2695629342171695,1.2396617960220588,1.2329676379411378,1.2467011496112081,1.2725508144308049,1.3115179585682766,1.3701522858087194,1.4147517829589096,1.4276007957723258,1.4104517129086136,1.3992956782004973,1.3769646917415375,1.3615981574289584,1.3422335910724477,4
CN0101100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000282632274561,2.034719237234512,2.034461303635527,2.005583038234005,1.9514409133519885,1.8675664863564938,1.7734960355285123,1.6569563888408976,1.5205701582248183,1.390645793157689,1.2582507806440657,1.1277624037060652,1.0116686382469005,0.9121836104282459,0.8312473173367694,0.771999305792697,0.7298216108137359,0.7157185189271762,0.7274415184158396,0.7585134623656887,0.7994110228068565,0.8556130165365934,0.9152208857126607,0.971190042123032,1.0158051175681924,1.0454537329247526,1.0431733433067576,1.0298727152903182,0.9961281830887324,0.9509424562474726,0.9034622665208334,0.8530173676763937,0.8138568271492357,0.7849608878987814,0.7648795993826207,0.7564479852600356,0.749462980104615,0.7486241102280724,0.7581684110388515,0.7582932921126613,0.7412191619813323,0.7250927551073149,0.6842243171968097,0.6460329280849906,0.6187943262198434,0.5919930792615357,0.5674102862136701,0.5658741559531478,0.5728192527109052,0.5749247760385781,0.6319484586912626,0.6675272719410916,0.721778372990866,0.7751048927355044,0.8318173588908017,0.8963586027207531,0.9452822242398897,0.9743523740560149,0.9749774663717338,0.9961575253674447,1.037484452253465,1.027993054321127,1.0634171752993846,1.074731604063917,1.0860804463845084,1.1205550632326182,1.1661326907110547,1.186240856047852,1.2104919791733866,1.218489616593191,1.2411625778083266,1.24123265922806,1.2507332598431433,1.2180303383597573,1.2036108395725829,1.1805533366344316,1.1934954622960223,1.216890252616395,1.2250255479502528,1.2292030403627834,1.2308193081112706,1.2274191962738774,1.22532888583901,1.2297640253502866,1.2169441065460491,1.1816402642636967,1.145897729977722,1.1097128927346396,1.0552087408622555,1.0078306030597373,0.9429416326368426,0.9168604692688411,0.8721171944548523,0.8339507941159086,0.7925117296309508,0.7463087305380498,0.707458635698574,0.6673793251628325,0.6600089858072941,0.6482903065987713,0.6425807803202722,0.643128069170909,0.6791054100922059,0.7061309702529966,0.7228545660738379,0.7813565799190778,0.8462176468698248,0.8970850498682674,0.9390045860917465,0.9844857447441072,1.045011006306388,1.1195262814500981,1.1738435910151175,1.2290384890588855,1.350205972378392,1.3834481993984795,1.424567652410351,1.4650512299067542,1.459425496386216,1.4418014917449828,1.4197370735198225,1.3973077230021493,4
CN0101300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8660722409525912,1.886971197021738,1.8836444751365344,1.8643811821974063,1.8277441983147746,1.7786124551276372,1.718357931975514,1.649977891243509,1.5845424797355592,1.517495100005627,1.452857642831837,1.3932481468342353,1.3346141851148836,1.2776269229535635,1.2299814125754733,1.1799209010738436,1.1354739727916465,1.098752695961302,1.0658745677798813,1.035660769859219,1.0045415373343225,0.9811868896037309,0.9647288313663925,0.9497306234727387,0.9407086776413434,0.9256358205315502,0.9078327068801035,0.8939777970408072,0.8706530832531173,0.8518764245072524,0.8225318180558117,0.7988390561196579,0.7771283459954258,0.7647942410958324,0.7623799668759238,0.7667988073480573,0.7822473210874641,0.8127813394500141,0.8477863648949077,0.9028369825547218,0.9507529594545764,0.9994334170135173,1.0425091686919132,1.0778984307816148,1.0989802584933832,1.1004699629592347,1.082175692791338,1.053524314778913,1.0139601780813958,0.9618096110406511,0.9054524786075585,0.8389587346726273,0.7884133000879338,0.7444412971144225,0.6946744525466162,0.6641958298873876,0.6414984856152608,0.6298355450758892,0.6493085314947479,0.6708817168836576,0.6915834826467455,0.7122697193569365,0.737422589092761,0.7721214147600397,0.8055669527651407,0.8391605384746936,0.8559648950479659,0.8645534596024778,0.8744639662652185,0.8808220552941444,0.8670025184530648,0.8754849200466516,0.8641222015367565,0.8393755884382914,0.8220374804440285,0.8248425688458445,0.8537858251096699,0.8739968919390855,0.8987969496934529,0.9233496737375012,0.9640822856681818,0.9870578092568956,1.0434284813732146,1.0742662058113595,1.105040897025983,1.1189919499026388,1.1255701850809037,1.1158075655938486,1.1126555077330398,1.1069641362066818,1.1002691874013197,1.0722829515130423,1.0483397643669392,1.0366813982530778,1.034079967197847,0.9818911541301878,0.9440294477225131,0.9141881635326777,0.886563129663386,0.8675241831680215,0.8640629126826181,0.8616776140327629,0.8730796312842314,0.8814693287014564,0.8916583107592191,0.9280301999554539,0.9098098558128297,0.9007639803901595,0.9029620241819704,0.9028682800297934,0.8920227257676876,0.8341670413323914,0.8307785335237172,0.827729087513327,0.8060193232237799,0.8167783339091771,0.8365257621755551,0.8972388536754424,0.9620102712513388,1.0116731193430888,1.0716402702943972,1.1686616856825105,1.241926509002245,1.2653958907181733,1.3163341551487857,1.3382876670205568,1.315662032344381,1.3339207372699287,1.2581518269781518,1.2187865416800694,1.161176418796394,1.10957332678669,1.0836531441439665,1.0854010118381603,1.0904758225213835,1.1044613300232153,1.1506120548952836,1.1795197327220621,1.1711599228405551,1.1606563990383028,1.1343298420068373,1.153471197696564,1.1786718356081325,3
CN0101900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1163632064273301,1.0968599864483932,1.0819757532521113,1.0706908900283376,1.0541217172698518,1.0399704435824892,1.0295032987741013,1.021442592521073,1.0170092749634807,1.0208370799238182,1.0282718966111672,1.029528279714138,1.0374533131089292,1.0379554857780522,1.0512439600973567,1.0602062435603905,1.0664318525749477,1.0676011022946839,1.0605879269326257,1.0473079280192903,1.026052340648434,1.009862575733443,0.9891723588492423,0.9768528307821692,0.9626325119199357,0.9525306210541953,0.9434217624586427,0.9291162976321617,0.9140003075052148,0.9039494729482898,0.8886970057444111,0.8884070557716404,0.8930104222106228,0.8799741946596314,0.8677575647119087,0.8502883058941031,0.8286108184270526,0.8142685442424041,0.8092792625758913,0.8111826152433006,0.8196207917030417,0.828839869818911,0.8488912849886288,0.8690769030892406,0.9003970264257886,0.9297467903668873,0.9638238075634049,1.0016454552226048,1.0367363070052658,1.1142892615563962,1.1538770819622417,1.2493607275676937,1.331687365423238,1.4680647178008508,1.577551101019804,1.7265104058998988,1.8367815513378956,1.9146937340445234,1.9608573598833514,1.9708467653773591,1.9931566098753772,1.981851012232306,1.937219618344859,4
CN0102300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.453954478643929,1.44682277200584,1.4265974467797533,1.3696353909609464,1.2973561382798269,1.1942848532684094,1.0877600401976426,0.97385064074695,0.8528382911775768,0.7292343704958615,0.6334802456743708,0.5477319801797997,0.48307373108497753,0.4351607694185951,0.41874697717012593,0.43094362749300075,0.4634108400430098,0.5044089924075521,0.5696120513549606,0.6385969303165431,0.7222345244343522,0.8184007304412442,0.9180962630702953,1.0061328714087174,1.066879845584559,1.1268157861865378,1.1598227582222527,1.1777557755844668,1.1804341095187423,1.1436676877511678,1.0711889185124457,1.0267610970341987,0.9421803246118275,0.8826035154243876,0.8230354292265311,0.770626451132822,0.7512852899313831,0.7333939770219773,0.7431630449850577,0.7560365414026582,0.7670317472529239,0.799446334327103,0.8352493048114857,0.8771753465476693,0.9058189098838101,0.9301680993449164,0.9737908177271917,1.0181338447192032,1.069217662583681,1.119269667738986,1.1841530363595916,1.239036453965893,1.28860884142387,1.321070722268105,1.3533754802663072,1.3587900375922044,1.3543103660464317,1.3271072437947833,1.3055665362653432,1.2688451829646088,1.2283323057329982,1.1953989969526848,1.1711758291015417,1.1502300790629787,1.1385225664388252,1.1274043762665302,1.1092769587815448,1.0946553722145376,1.0722981032759493,1.037927260583644,1.0062728174561166,0.9751829716861597,0.9399719381816133,0.8900954096401825,0.8660899276395171,0.82386893620803,0.8074593786264087,0.8014923622177015,0.7977018010472494,0.8059648069256555,0.8318568738616992,0.8458234493989661,0.8502490568821535,0.8818246127566143,0.8814210376351499,0.8748354190201013,0.8703448258558877,0.8712389215051553,0.887673540215453,0.8897768022099867,0.8813367644184433,0.900361694675673,0.9152958592894849,0.947687012145295,0.9586807775409065,0.9968097095442348,1.0163933495669677,1.0027883858198412,1.010336475087392,0.981303756086578,0.9722690341778837,0.9602912995039783,0.9331574429763307,0.9136356611226528,0.9191130090779751,0.9272644994760959,0.9496156652127223,0.9804378281110069,1.0030839437606707,1.0122901341047603,1.046915253371679,1.0686198479211666,1.082761219298153,1.0833257520265713,1.1051103352976699,1.1131162296884285,1.1007555746323883,1.1073176297923575,1.0897110079724186,1.0615495454097403,1.0485064915896218,1.035505438069623,0.9983273267667883,2
