FIPS,R_e,CRRI,region_type,DailyCasesAvg,DailyCasesPerCapita,Growth,02/02/2021,02/03/2021,02/04/2021,02/05/2021,02/06/2021,02/07/2021,02/08/2021,02/09/2021,02/10/2021,02/11/2021,02/12/2021,02/13/2021,02/14/2021,02/15/2021
01095,1.2071556779499066,3.0,cbsa,48.0,4.96000992001984,1.4605934025167082,50.313213637066895,52.737905551856954,55.2794481000424,57.94347254159552,59.38889728921999,60.87037877644606,62.38881645409113,63.945132210158526,65.02153026870712,66.11604749818244,67.22898890132251,68.36066461502246,69.22905831340796,70.108483320802
01123,0.8776840267593851,1.0,cbsa,23.0,5.697723387915872,0,22.26190805204958,21.54750217903956,20.856022272222468,20.186732615465857,19.870745434898815,19.559704468272617,19.253532291457887,18.95215269226147,18.755947549568887,18.561773651487094,18.369609969236663,18.179435691741904,18.038835773308136,17.89932325590259
01015,1.1562929949201315,3.0,cbsa,69.0,6.073676334668368,1.3369796890119963,71.55105873905285,74.19643487941146,76.93961551137797,79.78421664948907,81.29922945610663,82.84301065703329,84.41610653181701,86.01907373324171,87.11817637897151,88.23132273121223,89.35869223243297,90.50046661791636,91.37183764313872,92.25159854182773
01053,1.0169112874525887,2.0,cbsa,20.0,5.459558321731771,1.0334685823038565,20.084025432105893,20.168403877873814,20.253136820410038,20.338225749051773,20.381083289641985,20.424031141393456,20.46706949461357,20.510198540010705,20.539042127243007,20.567926277345666,20.596851047362442,20.6258164944173,20.647582585544946,20.66937164607713
01081,1.0613294252056789,2.0,cbsa,81.0,4.922755284365087,1.124761744491961,82.21433913898393,83.4468834575292,84.6979058847972,85.96768344165999,86.61928126880136,87.27581792541142,87.9373308456796,88.60385774753037,89.05326236230476,89.50494638694818,89.95892138277787,90.41519896975095,90.75979346971978,91.10570130384883
01007,1.0781594290139673,2.0,cbsa,10.0,4.46548182548897,1.160656775520515,10.18991934117867,10.383445617972713,10.580647333065706,10.781594290139672,10.88542028961748,10.990246126213759,11.096081428290077,11.202935916928457,11.275201592351337,11.347933424849739,11.421134421417204,11.494807608444187,11.550552512345678,11.606567755205148
01009,1.0781594290139673,2.0,cbsa,33.0,5.706775498910525,1.160656775520515,33.62673382588961,34.265370539309956,34.91613619911683,35.57926115746092,35.92188695573768,36.267812216505405,36.617068713357256,36.9696885258639,37.20816525475941,37.44818030200414,37.68974359067677,37.932865107865815,38.11682329074073,38.30167359217699
01021,1.0781594290139673,2.0,cbsa,10.0,2.250832808139011,1.160656775520515,10.18991934117867,10.383445617972713,10.580647333065706,10.781594290139672,10.88542028961748,10.990246126213759,11.096081428290077,11.202935916928457,11.275201592351337,11.347933424849739,11.421134421417204,11.494807608444187,11.550552512345678,11.606567755205148
01073,1.0781594290139673,2.0,cbsa,298.0,4.524934973040194,1.160656775520515,303.6595963671244,309.4266794155869,315.303290525358,321.2915098461623,324.3855246306009,327.50933456117,330.6632265630443,333.84749032446797,336.0010074520698,338.1684160605222,340.34980575823266,342.54526673163673,344.2064648679012,345.87571910511343
01115,1.0781594290139673,2.0,cbsa,42.0,4.692108320672089,1.160656775520515,42.79766123295042,43.61047159548539,44.43871879887596,45.28269601858663,45.718765216393415,46.15903373009779,46.60354199881832,47.05233085109951,47.35584668787561,47.661320384368906,47.96876456995225,48.27819195546558,48.51232055185184,48.74758457186162
01117,1.0781594290139673,2.0,cbsa,114.0,5.236515971373713,1.160656775520515,116.16508048943685,118.37128004488893,120.61937959694903,122.91017490759228,124.09379130163927,125.28880583883685,126.49532828250688,127.7134694529844,128.53729815280522,129.366441043287,130.2009324041561,131.04080673626373,131.67629864074073,132.3148724093387
01127,1.0781594290139673,2.0,cbsa,17.0,2.6762802852599927,1.160656775520515,17.32286288000374,17.65185755055361,17.987100466211697,18.328710293237446,18.505214492349715,18.68341841456339,18.86333842809313,19.044991058778376,19.16784270699727,19.291486822244558,19.415928516409245,19.541172934355117,19.635939270987652,19.731165183848752
01011,1.0198669558719275,2.0,county,4.0,3.9600039600039603,1.0393903701459664,4.019720637118898,4.039538500119889,4.059454068342059,4.07946782348771,4.089561128706507,4.099679406498847,4.1098227186511735,4.1199911271028,4.126795226737509,4.133610563234244,4.140437155150502,4.147275021074428,4.152415065598173,4.1575614805838645
01013,1.258406062040605,3.0,county,11.0,5.656108597285068,1.5924665816244385,11.650589100515012,12.339656944458108,13.069479336472545,13.842466682446656,14.269425740001497,14.709553984884728,15.163257609427488,15.630955334616313,15.957193436281516,16.29024054588639,16.630238776166657,16.977333205933245,17.2451208615964,17.517132397868824
01019,1.0425879129615874,2.0,county,5.0,1.9086883493663154,1.0856380830794985,5.052405226939048,5.105359715440204,5.158869222338829,5.212939564807937,5.240471706345114,5.268149258894294,5.295972990443769,5.323943673037964,5.342738550023121,5.361599777710424,5.380527590334747,5.399522222957875,5.41383734317773,5.428190415397492
01023,1.2849643419980876,3.0,county,2.0,1.588688537612201,1.663770895662433,2.1293780093688865,2.2671253533919007,2.413783435997689,2.5699286839961752,2.656950293121894,2.7469185834150656,2.839933333884489,2.9360977022046657,3.003466929580025,3.072381954560738,3.1428782457179882,3.2149920854549485,3.2707828608958476,3.3275417913248657
01025,1.2054173930056802,3.0,county,26.0,11.006688680044027,1.456250693869759,27.24317444964644,28.54579054207187,29.910690443874284,31.340852218147685,32.11633664096538,32.911009313223346,33.72534502062426,34.559830296761774,35.13681846418372,35.7234396460761,36.31985466890477,36.92622704418828,37.3914420373483,37.862518040613736
