,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,CRRI
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.280174655743712,2.2687552405010023,2.250448128107718,2.2261794563506565,2.196628882672293,2.1620704203380683,2.1221704065612825,2.0764980420387045,2.025118580209313,1.968902063282714,1.909550661540111,1.8493311260578118,1.7907711079701933,1.7362602537248755,1.687650296282792,1.6459948779412383,1.6113734170125258,1.5827612095456747,1.5583653338389196,1.5361593201340433,1.5145143825535605,1.4926386809392895,1.4707859183749805,1.4502418848818153,1.4329252021126366,1.4209949963602861,1.4163652915552816,1.420221418131959,1.4326796744202355,1.4527593431650285,1.478647565351186,1.508031006612304,1.5383974067924626,1.56791507084747,1.5949355975175679,1.6175509360609233,1.6342170474464224,1.6440187582974355,1.6466844897747788,1.6424639810157864,1.6329277617559244,1.6190291847764444,1.6012093688305518,1.5793183121543803,1.5546502123170214,4
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.674621446024742,1.6970908379488714,1.7099803745615187,1.7102162049500111,1.6967919420613986,1.6709279841136582,1.6355500707577417,1.5943422533821885,1.550715831068681,1.507090159950236,1.4644620934897037,1.422408596291502,1.3793790154316687,1.3333161091765415,1.2826300224676397,1.2271488293959887,1.1685907728672251,1.1103821813204118,1.0569114232528987,1.012478199277569,0.9804254220985564,0.9626291652921681,0.9593914387038539,0.9694613153753506,0.9902285203211351,1.0182126301805736,1.0496920540172636,1.0812276604470827,1.1098986533323107,1.133241167975653,1.14900146177621,1.1549458437395346,1.148935692029198,1.1292752149360554,1.0952533526504338,1.047602522242006,0.9892939508656028,0.9249193767847957,0.859750118058384,0.7992348317176667,0.7484361175363327,0.7116326546017817,0.6919852105145544,0.6875530088211379,0.6967300268045844,0.7176281975790217,0.7474780541542025,0.784200840576507,1
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.428135753619624,2.4636219711836587,2.4911580531214157,2.508057185398007,2.5119805457055797,2.502067340039812,2.479407529297042,2.446709514668562,2.407468098779359,2.3651806447421486,2.322491313229795,2.280630725708632,2.239245660680736,2.1965242889236096,2.1495762245322463,2.0950457260521316,2.030003450564814,1.9529064345732947,1.8641522190238549,1.7661148494609993,1.6628337064391723,1.5593269043349374,1.4608278539347748,1.3720240291796744,1.2965274971329899,1.2365110590296895,1.1924833280250748,1.1633445944610874,1.146696397565525,1.139327122564764,1.137781957053684,1.138997909670264,1.1407940136537007,1.142137186544113,1.1430684244971383,1.1444274037524287,1.1474283315247698,1.153173659333132,1.1623149527924912,1.174878987015143,1.1902356739396025,1.2075684076087838,1.2257151318482116,1.2430121365307474,1.2578792238744394,1.2692304130069803,1.2766599704994819,1.280443544226666,1.2813492046679917,1.2799687501036836,1.2766236232399628,1.2711549561469042,1.2641077720760456,3
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.894318560850931,2.8777785172760177,2.840216904798538,2.7849808354078642,2.715117681083153,2.6328695074873973,2.5399583037525204,2.437671907667872,2.327023438470399,2.209028893782089,2.085108120984699,1.957387511604293,1.828817713476847,1.702872219878768,1.5830128376726242,1.472173486322373,1.3722103624991835,1.2837031981002247,1.205935872843843,1.1372678758827008,1.0755617448676156,1.018634163075154,0.964762421548518,0.9129568730948139,0.8627633354093515,0.8139498270080289,0.7662369546061635,0.7191252059573966,0.6719300757908555,0.6237875721781454,0.5740365229491406,0.5222478049311148,0.4684499983628572,0.41338719725434825,0.3585316856248349,0.3058394309233824,0.25690485143966124,0.21244778397439756,0.17229930612573427,0.13598392449208357,0.10429243727183139,0.07968554220453572,0.06502268907477383,0.06341250170643704,0.0777350548058465,0.11040779489538767,0.16293180848138847,0.2313021977450902,0.3131226398643567,0.40605037848070086,0.5061194457388581,0.6091680952703222,1
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.723405247987575,2.7457552201078754,2.7655241808404067,2.7790205973940343,2.7825435955161315,2.772548039006768,2.746811117686934,2.704731291409178,2.6475513216700497,2.5775591833519313,2.4974441019529436,2.409891461865866,2.3172502479224564,2.221376019430418,2.123521978901602,2.024787029816512,1.9261936831872724,1.828767844735584,1.7335560484026662,1.641928182763006,1.5555382229804002,1.476159859205196,1.4055184591292036,1.344970842231166,1.2951157614617201,1.2555480477590728,1.2250482823056605,1.202018061200452,1.1849130275034236,1.172510423814332,1.1641541058946554,1.1596763721083656,1.1592586057050236,1.1631301142388146,1.1713000710368493,1.1832393760885762,1.1976046365963526,1.2121169741884978,1.2238980191819775,1.230043883122776,1.2283343862186942,1.2178327959086552,1.199575193264998,1.176096729488004,1.150206022127251,1.1247188210704864,1.102201145325376,1.0848087061633227,1.0741579452371297,1.0698233605541352,1.0711708134690168,1.0770282564385305,1.085378434466422,1.0948686505685392,2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.986157010747209,2.9784434648658262,2.942130273557729,2.880830623275602,2.7992209188400947,2.702651696316809,2.5966932808463428,2.4867699767760794,2.3779773831175692,2.274873731574976,2.180979932368792,2.0982112034901004,2.0265218490574166,1.9640500924901172,1.9074491233741167,1.8526160456881169,1.795383539962277,1.732033768882862,1.6598020717495092,1.577357246206975,1.4853328531679688,1.3866045156074607,1.2860152122442614,1.1895997163945207,1.1034949112410877,1.032938810504542,0.9816198894755176,0.9513205715885116,0.9418763927579739,0.9513342877288732,0.9762650505906943,1.0123276457916435,1.055057051510023,1.1005042487320111,1.1455768978756566,1.188060818586472,1.2264681512619653,1.2599138296324106,1.2880455163761488,1.3110423094344184,1.3295670132199018,1.3446697177833973,1.3576333118848751,1.3703598490859494,1.3843856176258484,1.3999566028707542,1.416484573849303,1.4328338765663025,1.4476321247656923,1.4596032053589643,1.4687167516731783,1.4746307843782944,1.4766622196935202,1.4736447720157793,1.4660225258077617,4
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3625936263915692,2.393178584652261,2.430001037010447,2.471677800736432,2.515924878387869,2.5601104768217016,2.6016367439038097,2.6382827195505256,2.6683444317452274,2.6904654345197345,2.703541091117098,2.706390079956058,2.697452280513937,2.6748932187105003,2.637258235557051,2.583710693749685,2.5141960591153683,2.429357127799893,2.330415368241539,2.218910788668103,2.0965227617210154,1.9651139086434077,1.8267615664576071,1.6837228179758923,1.5383273427646806,1.3929227718142412,1.2497050622249675,1.1106638885246747,0.97751666237132,0.8517740167579368,0.734700064248832,0.627239804153326,0.5299952173930467,0.4433091458713411,0.36749301966162556,0.3028975619175705,0.24984016423299044,0.20834277603622722,0.177901309345274,0.15719835255019401,0.14415835579360248,0.13631600548230183,0.13136304776262522,0.1275940971218106,0.12443647142976783,0.12287583801911661,0.12524433129462856,0.1347343867806145,0.15473190058785968,0.18823109761170712,0.23761854174294153,0.30359972685559533,0.38428364506258805,0.4760397368807776,0.5742475998720908,0.6741373684734469,0.7715744524672138,0.8636344844926258,0.9482643324634753,1.023844989198593,1.0888597113877614,1.143553567375253,3
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6408357818945634,3.6209283817269617,3.5983093143787044,3.5727336659786992,3.5423903195037294,3.5129203826369495,3.4796738646638703,3.4393907903476495,3.390323004787107,3.332135379998876,3.2657834457657167,3.1928904486893184,3.1151762345473566,3.0340139156070607,2.9501476245910765,2.86361991920995,2.7737126080604995,2.6791914771773118,2.5786903326889825,2.471144402872737,2.3558773975662075,2.2327890532822496,2.102418771757685,1.9658983433440558,1.8248339436369319,1.6812748454853272,1.537762764725199,1.3971335251121155,1.2623296234692296,1.1362315918137218,1.0214331569080808,0.9198261830939896,0.8323022292167156,0.7586032180311485,0.6973286881654175,0.6460473602730014,0.6016975578390013,0.561205423279785,0.5220281515321737,0.4825411414730048,0.4422951857377656,0.4020194244055882,0.3633267483151616,0.3283987860015661,0.29967360556472894,0.27953362175387797,0.26984627588029575,0.2716232769261609,0.28480376376742883,0.30821061726897325,0.33965120354704315,0.3761514698282459,0.4143159444021732,0.4507898601677317,0.48318806030760725,0.5101772288696386,0.5314707701809653,0.5477726092564374,0.5606452655728342,0.5724462257038507,0.5838710810197583,0.5959238091545425,0.6095854232805746,0.6253630509073153,0.6427391851264338,1
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.331209862330702,2.3466389056135792,2.359250816334226,2.366579115795313,2.3664770551482754,2.3574646710128673,2.3388899892567956,2.311098994358548,2.2751992507454077,2.232704597583734,2.1850814669312237,2.1333845001380563,2.078111707022829,2.019070416178586,1.955487935488223,1.8862113452903846,1.8100393791097529,1.7261634802081776,1.6345491335904005,1.5362575705358106,1.4335047868565622,1.329447882531538,1.2277121289144188,1.1318752633857136,1.0450102592128616,0.9694348420346981,0.906627487353709,0.8571848699829481,0.820931025276022,0.7970704134600027,0.7844778171606257,0.7819261468061594,0.7883591574390779,0.8030117091096578,0.8253423840710679,0.8553660317924098,0.8930631817628472,0.9371161431644859,0.9854952450857686,1.0359760208994424,1.086528191302952,1.1355647824354993,1.1818309072753286,1.2241546522540265,1.2612557889626934,1.2915127901881591,1.3147860284714223,4
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007538228465462696,0.12496532762361857,0.31069509578413207,0.5323834466806378,0.7632882736699181,0.978392896088382,1.1596524711312444,1.296558613977032,1.3846088025898133,1.4261454156315927,1.4291184081061636,1.4053003629028078,1.3679786216148668,1.329459625334604,1.2988387950814912,1.2812843151036346,1.2781534228356188,1.2874548067470224,1.3044052922528564,1.3228745775881363,1.3371648177129263,1.3433598974645813,1.340158527221739,1.3289574417531793,1.3131131148045043,1.2964772345592905,1.2824194596428091,1.2732515330726706,1.2701854377469854,1.2733585919168777,1.2826892087004202,1.2987378181858638,1.3228144525730465,1.3563388299477552,1.3999904314028204,1.4531528767169115,1.5133691140738643,1.5762789511374438,1.6358209114530506,1.6848885578776798,1.7161119985478006,1.7235658438137675,1.7046282151722967,1.6611370526116387,1.5990974622754421,1.527093870926974,1.4542618431925427,1.3884527832186615,1.3351588516548991,1.296990633089897,1.2735440113741978,1.2616217107784047,1.256267464590988,1.2523083657596088,1.2461594733335766,1.237420515265123,1.228565027751377,1.2221762153226503,1.2204990732129608,1.225142624982732,1.2369424018083954,1.2558711864314285,1.2804518165371421,1.308814441437329,1.338261209598332,1.365154433621143,1.387061082816118,4
