,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,CRRI
10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5737675144139611,1.5950261375121078,1.6159265891288563,1.6302124537028715,1.6306492775396058,1.6106326099766994,1.565786615489605,1.49570321540947,1.4049921474339748,1.3032236538394526,1.2049666717548115,1.1239197069009272,1.0693522197380894,1.046803495078783,1.058360893959842,1.1023914702010373,1.1734838337155724,1.2635170659528756,1.36330222441309,1.462345425749423,1.549940697821516,1.62392329044861,4
10760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1853580006145417,2.1626713413833873,2.1252963203166706,2.0733572780467404,2.007993648621672,1.931183957085538,1.8452250978746638,1.752175629526064,1.6536967453556681,1.5506134303401535,1.4429348613822528,1.329871592947408,1.2106221080647421,1.0852821315814472,0.9556132930075679,0.8258381855260182,0.7022683298086609,0.5932131323392712,0.5056444598239748,0.44495914361024286,0.414621752694686,0.41568630840436754,0.4466030757156623,0.500585426416424,0.5716127548166742,0.6534270736214071,0.7398523500253206,0.8249129231930817,1
12220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6314092216933418,1.6525982032645612,1.6631926641817096,1.658260946734336,1.6342409971664058,1.589426935280724,1.5242913055211078,1.441439908638518,1.3452426264093358,1.2410060783918917,1.1345825892990642,1.032019739813298,0.9390563233068551,0.8604736139476729,0.7994916914465311,0.757327167039083,0.7329498285583049,0.7233514934152147,0.7242628794330427,0.7308778841142308,0.73847221933764,0.7431756778646211,0.7427135332157021,0.7363594151052081,0.7248598637244447,0.7103201960290494,0.6958091155713823,0.6849902616948974,0.6783427312965187,0.6764779904943183,0.6797603613364167,0.6881236379641142,0.7011750410068679,1
13820,,,,,,,,,,,,,,,,6.296364810711187,5.726641879141057,5.1812645511302895,4.667109511333679,4.215359319015009,3.858440952966898,3.557473126998531,3.292124563107019,3.051123584612804,2.828546424223936,2.622100654378068,2.4317023408290197,2.258274325154311,2.1028496429415364,1.965894450599044,1.8470198694535178,1.7447245345062357,1.6565408182121197,1.5792800160327607,1.5094779894851693,1.443763903347857,1.379198682722025,1.3135644098317365,1.2455800541698976,1.1752233333563082,1.1039472282298324,1.0346347175189539,0.9711170013837778,0.9174136157921774,0.8768317688671213,0.8513291842699651,0.8411449255962435,0.8447967402475618,0.8591508437747436,0.8798086841967234,0.9019024683439192,0.9211249783209376,0.9345660645536848,0.9412490410419135,0.942587732055194,0.9413684360011124,0.9403747191595118,0.9420090692857167,0.9481998176506339,0.9600357916865584,0.9777166012550671,0.9999128451269108,1.0253479358151283,1.0524660363191851,1.079122518958283,1.1042012948460456,3
00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.406485165970309,1.4110923422672041,1.4140209190666646,1.414434066376109,1.4113764941385831,1.4036328483781417,1.391179738862173,4
CN0101300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2224770854176565,2.201856311777958,2.1714491087148144,2.135062151020272,2.0936530701969707,2.047630288439186,1.9970042158933186,1.942201141392123,4
00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3653210681768433,1.3654311597326652,1.3628928112597873,1.3573751736711108,1.3483792112108628,1.3347843203381622,4
17980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3545643819925703,2.3407310089297293,2.3134386055977165,2.269618866150227,2.2077610869243047,2.1284484172169007,2.034201839133094,1.9289652767600496,1.8175631577450189,1.7047052319001086,1.5942989153835436,1.4891325644867128,1.3908785517180016,1.3001525641395806,1.216750978565167,1.1400386114370242,1.0693499519974452,1.0043319376532378,0.9451377994398117,0.8924870905106825,0.8472291606548041,0.8102239576619628,0.7820647551222103,0.762733279901494,0.7515275673788613,0.7472422055767526,0.7484951462496623,0.7541034196246877,0.7626187657825553,0.7729483742045591,0.7842556163487452,0.7955586622070407,0.8060759390902504,1
CN0105900000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31581046514949,2.3014382535375435,2.2726849590553493,2.234629800503838,2.188266186623377,2.1341016297377844,2.072359426765827,2.004504844694815,4
00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4522283428486353,1.4677808215921153,1.482125630099037,1.4930923628664392,1.4999003380599145,4
26620,,,,,,,,,,,,,,,,,,,,,,,,2.340258775572258,2.257456908096733,2.160364628091192,2.0511128881223173,1.932961195613624,1.8100030396109736,1.6867871010879192,1.5676909467248377,1.456073580349188,1.353827301145914,1.2614940362246705,1.1785846851561765,1.1038166231220357,1.0355806497617148,0.9725282269260113,0.9139902659279999,0.860007855951603,0.8111824219511162,0.7681902758590796,0.7307364183551879,0.6969180871247068,0.6638719850108724,0.6292649662210238,0.5929831370572426,0.5578150517216546,0.528810072859782,0.5118085851652752,0.5117608716776222,0.5319032668850268,0.5731386202795297,0.633470543166155,0.7079612310350163,0.7897604651489728,0.8705279766993939,0.9432027765099046,1.0039241531838996,1.0524004708967118,1.0910346908711674,1.12166612807753,1.146461548310829,1.1674340082765216,1.1859790282987843,1.203109022008918,3
33660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.506840750878424,2.5004300325420323,2.495346230011011,2.48907817968798,2.478278816427852,2.458923958273214,2.426937473916305,2.378867738494298,2.312495099312543,2.2273242181232975,2.124817262442814,2.008340454530757,1.882689101987088,1.7535048044405648,1.6266944873347289,1.507803933154475,1.4015575349464289,1.3114954886692367,1.2397537687570517,1.1868448924572441,1.1515924871920484,1.1314141756996157,1.122878727783058,1.1223724835973083,1.126508749621843,1.1324613519637063,1.1383834887745787,1.1432061474392785,1.146282580099666,1.1474296167584601,1.1468695060755731,1.1450418614116613,1.1425775326897696,1.1398708056339664,1.1371777589487353,1.134510546683434,1.1314456537825424,1.1280205655917939,3
33860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6453584922295603,1.6552400707831296,1.6682655058242961,1.6815654212990123,1.6911209643615965,1.692189441616251,1.6803122552168193,1.6521596918485817,1.606419447520654,1.544134335842309,1.468542035549708,1.3846332463192603,1.2984576935168342,1.216521710172393,1.145156092572714,1.08997885893843,1.0553565411785268,1.0438180963965644,1.0556820502623943,1.0894008754843674,1.14148736154194,1.2060881953541052,1.2765052734704558,1.3462885333022878,1.4099768580027299,1.4636045654798753,1.506621200060747,1.5386717105870447,1.5595689212197426,1.5691929022335955,1.5689598660379442,4
46220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.751368005838415,1.7038705997595918,1.6516995490038482,1.5967491802887916,1.5407907711544124,1.4855756775784614,1.432718804156708,1.383486360532878,1.33834823283102,1.2969108137993932,1.257864499568451,1.2193737469711787,1.1796530289139147,1.1373894304600696,1.0920698469471253,1.0442181687474328,0.9958711376219507,0.9504720016962382,0.9124394258226479,0.8869002426184791,0.8781633021349814,0.8878569134704294,0.9153168660327875,0.9580725896626539,1.0122646409422744,1.0730582594708995,1.1361980754874703,1.197766045340392,1.2540941123416793,1.301780935267015,1.3399566407982857,4
46740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9156863798157484,1.877474244238428,1.837885282716914,1.7947893930564822,1.7449918438596683,1.684928069533856,1.611620664940929,1.5236566101808957,1.4220633112565595,1.310495164935671,1.194336518457616,1.079828690787113,0.973066536481738,0.8789750019278093,0.8002929673342547,0.7372339795286839,0.6874687805763445,0.6467061098667549,0.6099376967441064,0.5732770756931486,0.5354504245029652,0.497985230302954,0.4652570867854766,0.4428642592283052,0.43545206321964147,0.44621318817229705,0.4765910774074987,0.5259110662512704,0.5912931225541666,0.6674111328330153,0.749254499998721,0.8319233314051812,0.9105542821171735,0.9824447999401208,2
CN0400100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1186015197933714,2.088578308364777,2.05569087159138,2.020478389348068,1.9831045396542137,1.9434205213465383,1.9010423506630905,1.8557690279877395,1.807880167846471,1.758132296141622,1.7075956770658538,1.6574791373565323,1.6089580999691406,1.5630011416970526,1.5207746248686007,1.4829990400320334,1.449598356330518,1.4198334609572825,1.3926103341644616,1.3669185399366932,1.3421599798609554,1.318529753878015,1.2960477733445686,1.2744460264478175,1.2528660356469976,1.231345022501056,3
22380,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7266011374905623,1.7087112229528127,1.6815939277274772,1.6456540276195906,1.6016143148092754,1.5509414254837974,1.4956703720408473,1.4382533302121883,1.3810955835391048,1.3263324837505375,1.2755516131372748,1.229738565116018,1.1892694093052891,1.1540124625392334,1.1235082422590357,1.09705111429617,1.074100040519257,1.054385785528809,1.0380206557903575,1.0255500799659147,1.0178481779662305,1.0158099217764505,1.0198830417819404,1.0298194862807137,1.0446804749662437,1.063016335119221,1.0832662610109842,1.1046519579592537,1.1270666256833848,1.1496940616068727,1.1715426137340457,1.191859687360066,1.2104158088037307,1.2276123056480306,1.2436455116456517,1.2585740799226066,1.2718599096832888,1.2821051815319955,1.2886040653807496,3
38060,,,,,,,,,,,,,,,,3.026307853299873,3.0966455067669116,3.1452355073795664,3.168293858356066,3.1642995557784928,3.1338841932228787,3.079270321800284,3.00369853979439,2.9110389730099326,2.805216397442595,2.689817951734403,2.5680044332127108,2.442565630976059,2.3159863348725755,2.190397134736497,2.0674737058797477,1.9483267832537738,1.8336049997841357,1.7238106184421806,1.6196926204441533,1.5224083455971367,1.4334391849040724,1.354227379470372,1.285893410927726,1.2291529987348366,1.1843669612840526,1.1514984462299303,1.1299207687980788,1.11831455558936,1.1147439509779995,1.1170197589128414,1.1232122816760652,1.1320219168377528,1.14281992876646,1.1554523363283626,1.1699823682972865,1.1865450343215536,1.2052039114742799,1.2258244359936679,1.248336305539844,1.2721953106315222,1.296014804837976,1.3179934373484352,1.3362867581524658,1.349398367424826,1.3564812583618027,1.3584333729017593,1.3558661152896871,1.349076187424139,1.3379001713912335,1.3229543255113425,4
39140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.566419187292808,2.5397668052565745,2.502495230913234,4
43320,,,,,,,,,,,,,,,,,,,,,,,,,,,2.363448152956575,2.3126615723217165,2.2595405830184254,2.202690314012484,2.140686497716,2.0725894772874804,1.9982769607225805,1.9186793645412443,1.8355909819544713,1.7511216543968673,1.667369329896244,1.586003299055992,1.5083612419363757,1.4356872311470614,1.3693035620572418,1.3105239434019968,1.2603851435162892,1.219474457879442,1.1878555233579497,1.1651450330091226,1.150544150463895,1.1428870222453187,1.1403959797304537,1.1407918892199786,1.1416450551053192,1.1410592086346896,1.138278522913629,1.1338016069936323,1.129764534846896,1.1282840160216459,1.130587643475307,1.1372097786597506,1.1481513989608185,1.1629984841615588,1.1810382210768529,1.201059887356447,1.2215215277805045,1.2405079264085563,1.2557350349918113,1.2673069536914348,3
